index,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,dob
12270,69573D6C921BDCD9,docked_bike,2023-01-23 13:10:12,2023-01-23 13:13:51,Halsted St & Roosevelt Rd,55.0,Morgan Ave & 14th Pl,137.0,41.8673,-87.6486,41.8624,-87.6511,member,2002-04-09
52238,94FE81ABAB0B877A,docked_bike,2023-01-07 01:41:28,2023-01-07 01:45:50,Chicago Ave & Dempster St,625.0,Benson Ave & Church St,596.0,42.0417,-87.6807,42.0482,-87.6835,member,1983-04-04
8963,2B3CA83591204B0B,docked_bike,2023-01-09 11:06:24,2023-01-09 11:11:00,Wentworth Ave & Cermak Rd (Temp),120.0,McCormick Place,62.0,41.853,-87.6306,41.8514,-87.6188,member,1985-05-01
56364,B492100F04660573,docked_bike,2023-01-30 11:09:50,2023-01-30 11:40:43,Lake Shore Dr & Monroe St,76.0,Larrabee St & Menomonee St,28.0,41.881,-87.6167,41.9147,-87.6433,member,1995-09-29
358553,87700E45F213AF22,docked_bike,2023-03-11 10:58:57,2023-03-11 11:04:56,Ravenswood Ave & Lawrence Ave,344.0,Clark St & Berwyn Ave,463.0,41.9691,-87.6742,41.978,-87.668,member,1998-10-05
275013,2F64F52DAEE3E43A,docked_bike,2023-02-10 02:45:15,2023-02-10 02:59:29,Clinton St & Washington Blvd,91.0,Dearborn Pkwy & Delaware Pl,140.0,41.8834,-87.6412,41.899,-87.6299,member,1984-02-18
207010,035595F00BB93F8A,docked_bike,2023-02-16 07:44:18,2023-02-16 08:02:14,Pine Grove Ave & Waveland Ave,232.0,Lincoln Park Conservatory,673.0,41.9493,-87.6463,41.9239,-87.6358,member,1978-11-04
238270,269B12C218C133EA,docked_bike,2023-03-01 10:01:24,2023-03-01 10:05:54,Lake Park Ave & 47th St,267.0,Greenwood Ave & 47th St,252.0,41.8094,-87.5919,41.8098,-87.5994,member,1994-04-14
128965,C17E0E74016BBF8A,docked_bike,2023-01-31 06:12:26,2023-01-31 06:18:25,Daley Center Plaza,81.0,Kingsbury St & Kinzie St,133.0,41.8842,-87.6296,41.8892,-87.6385,member,1998-08-05
237245,B910AA9E86070397,docked_bike,2023-02-13 08:28:42,2023-02-13 08:33:28,Franklin St & Adams St (Temp),286.0,Desplaines St & Jackson Blvd,107.0,41.8794,-87.6355,41.8783,-87.6439,member,1955-08-12
