match_id,player_name,sets,balls_bowled,runs_conceded,how_many_out,extras
125,A King,3.0,15,24,1,0
125,A Shrubsole,4.0,22,23,2,2
125,A Stonehouse,2.2,14,16,0,8
125,BF Smith,4.0,20,34,2,0
125,CL Tryon,4.0,20,19,0,0
125,GL Adams,4.0,20,25,2,0
125,KH Brunt,3.0,17,32,0,2
125,KL Gordon,4.0,20,17,2,0
125,M Brown,4.0,22,41,0,2
125,MLL Taylor,4.0,20,18,3,0
125,ND Dattani,4.0,21,30,1,1
126,AN Davidson-Richards,4.0,21,20,4,2
126,C Pavely,1.0,5,9,0,0
126,EA Burns,3.0,16,17,0,2
126,EL Arlott,1.0,5,7,0,0
126,G Ballinger,4.0,20,24,0,0
126,G Wareham,4.0,21,24,1,1
126,HL Baker,2.6,13,20,1,0
126,IECM Wong,1.0,5,9,1,0
126,KA Levick,4.0,20,18,1,0
126,KL Cross,4.0,20,26,2,0
126,L Dobson,1.0,5,6,0,0
126,LCN Smith,3.0,15,10,1,0
126,SFM Devine,2.0,12,14,0,2
126,T Flintoff,1.0,5,16,0,0
127,A Griffiths,4.0,20,26,2,0
127,A Hartley,3.0,15,22,0,0
127,A Shrubsole,4.0,20,42,1,0
127,C Nicholas,2.0,10,13,0,0
127,CL Tryon,4.0,21,28,1,1
127,FR Davies,3.0,17,36,0,2
127,GL Adams,4.0,20,38,1,0
127,HK Matthews,4.0,21,35,2,1
127,K Moore,4.0,21,13,0,1
127,M Brown,1.0,7,19,0,3
127,MLL Taylor,3.0,15,25,0,0
127,S Ismail,4.0,21,28,0,1
128,A Shrubsole,4.0,21,13,2,1
128,AN Davidson-Richards,2.4,12,26,0,0
128,CL Tryon,4.0,20,25,2,0
128,G Ballinger,1.0,5,8,0,0
128,G Wareham,4.0,20,15,2,0
128,GL Adams,4.0,20,21,3,0
128,JI Rodrigues,2.0,10,18,0,0
128,K Moore,4.0,20,22,0,0
128,KL Cross,4.2,21,13,1,0
128,LCN Smith,4.0,21,11,2,1
128,LK Bell,4.0,20,14,1,0
129,A Capsey,1.0,5,7,0,0
129,A Griffiths,4.0,21,15,3,1
129,C Nicholas,4.0,21,17,1,1
129,E Gray,1.0,5,6,0,0
129,FR Davies,3.6,18,15,1,0
129,GA Elwiss,2.0,10,4,2,0
129,HK Matthews,1.0,5,8,0,0
129,LE Scott,1.0,5,9,0,0
129,M Kapp,4.0,21,18,4,1
129,PJ Scholfield,4.0,21,19,2,1
129,R MacDonald-Gay,3.0,15,17,0,0
129,S Ismail,4.0,20,12,3,0
129,SIR Dunkley,1.0,5,6,0,0
129,Sophia Smale,2.0,10,5,1,0
130,A Wellington,4.0,20,16,1,0
130,C Pavely,1.0,5,3,0,0
130,EA Burns,3.0,15,14,0,0
130,EL Arlott,1.0,5,3,0,0
130,FMK Morris,3.2,16,7,5,0
130,HL Baker,4.0,21,15,2,1
130,IECM Wong,1.0,5,5,0,0
130,KA Levick,4.0,20,12,2,0
130,KE Bryce,2.0,10,14,0,0
130,KL George,2.0,12,20,0,3
130,M Gaur,4.0,20,18,0,0
130,S Ecclestone,4.0,20,11,4,0
130,SFM Devine,2.8,15,23,0,2
130,T Flintoff,3.0,15,10,1,0
131,A Shrubsole,2.0,12,13,0,2
131,AC Kerr,4.0,20,31,0,0
131,CE Dean,2.0,11,12,1,1
131,CL Tryon,3.0,15,15,0,0
131,DR Gibson,3.4,19,19,1,2
131,GL Adams,4.0,20,11,4,0
131,K Moore,3.0,15,31,0,0
131,L Filer,2.0,13,16,0,3
131,LK Bell,4.0,21,24,1,1
131,M Brown,1.0,5,6,0,0
131,S Glenn,4.0,20,15,3,0
131,TG Norris,1.0,5,13,0,0
132,A King,4.0,21,35,1,5
132,A Stonehouse,2.0,10,10,1,0
132,AN Davidson-Richards,2.0,10,13,0,0
132,BF Smith,3.0,16,20,0,2
132,G Ballinger,3.0,15,18,0,0
132,G Wareham,4.0,22,24,2,4
132,KH Brunt,3.0,15,8,0,0
132,KL Cross,3.0,15,14,0,0
132,KL Gordon,4.0,20,25,1,0
132,LCN Smith,4.0,20,27,2,0
132,LF Higham,4.0,20,29,3,0
