player_name,gender,current_team,games_played,runs_scored,innings,not_outs,balls_faced,fours,sixes,high_score,balls_bowled,runs_conceded,best_bowling,extras,catches,POMs
JJ Roy,male,Oval Invincibles,21,391,21,2.0,293,42,13,59.0,0,0,,0,9,1
SM Curran,male,Oval Invincibles,17,318,17,1.0,245,20,16,60.0,321,502,16-3,24,10,2
SP Narine,male,Oval Invincibles,18,145,14,4.0,107,8,11,23.0,345,413,12-3,10,2,1
WG Jacks,male,Oval Invincibles,22,620,22,1.0,368,60,34,108.0,60,73,8-2,5,9,3
SW Billings,male,Oval Invincibles,22,349,22,6.0,244,28,14,76.0,0,0,,0,10,3
CA Ingram,male,Oval Invincibles,7,120,7,1.0,92,9,5,81.0,0,0,,0,4,0
LJ Evans,male,Manchester Originals,24,384,23,6.0,240,30,20,72.0,0,0,,0,9,2
TK Curran,male,Oval Invincibles,19,306,15,8.0,177,26,18,43.0,362,535,21-3,27,8,2
NA Sowter,male,Oval Invincibles,12,21,4,2.0,12,3,0,7.0,180,276,34-3,6,6,0
S Mahmood,male,Oval Invincibles,7,9,3,2.0,12,0,0,7.0,120,186,19-2,4,3,0
RJW Topley,male,Northern Superchargers,18,23,2,2.0,11,5,0,12.0,314,480,20-3,20,2,0
PD Salt,male,Manchester Originals,24,618,24,1.0,395,63,26,86.0,0,0,,0,12,2
JC Buttler,male,Manchester Originals,14,494,14,1.0,343,40,21,75.0,0,0,,0,11,0
JM Clarke,male,Welsh Fire,22,370,22,1.0,304,34,13,69.0,0,0,,0,14,1
C Munro,male,Trent Rockets,23,592,22,6.0,382,50,28,67.0,0,0,,0,5,2
TA Lammonby,male,Manchester Originals,11,120,8,3.0,90,13,3,27.0,5,8,8-1,0,5,0
CR Brathwaite,male,Manchester Originals,7,94,6,2.0,67,4,7,37.0,91,150,13-2,6,5,0
CG Harrison,male,Manchester Originals,7,37,3,,31,5,0,23.0,70,85,14-5,2,7,1
TW Hartley,male,Manchester Originals,24,80,10,5.0,76,4,2,17.0,320,430,22-4,19,12,1
FJ Klaassen,male,Manchester Originals,8,11,4,2.0,13,1,0,6.0,114,195,23-3,6,3,0
ST Finn,male,Manchester Originals,5,11,1,1.0,7,2,0,11.0,55,111,22-2,6,2,0
MW Parkinson,male,Manchester Originals,16,11,4,1.0,13,0,1,6.0,267,356,11-4,7,3,1
Z Crawley,male,London Spirit,12,258,10,,208,32,7,64.0,0,0,,0,6,1
JP Inglis,male,London Spirit,8,176,8,,135,18,5,72.0,0,0,,0,4,0
DW Lawrence,male,London Spirit,15,280,13,,193,20,13,93.0,64,84,21-4,0,5,2
