player_name,gender,current_team,games_played,runs_scored,innings,not_outs,balls_faced,fours,sixes,high_score,balls_bowled,runs_conceded,best_bowling,extras,catches,POMs
JJ Roy,male,Oval Invincibles,22,391,22,2.0,296,42,13,59.0,0,0,,0,9,1
SM Curran,male,Oval Invincibles,18,318,18,1.0,246,20,16,60.0,341,534,16-3,26,11,2
SP Narine,male,Oval Invincibles,18,145,14,4.0,107,8,11,23.0,345,413,12-3,10,2,1
WG Jacks,male,Oval Invincibles,23,634,23,1.0,382,62,34,108.0,75,85,8-2,6,9,3
SW Billings,male,Oval Invincibles,23,359,23,6.0,255,30,14,76.0,0,0,,0,10,3
CA Ingram,male,Oval Invincibles,7,120,7,1.0,92,9,5,81.0,0,0,,0,4,0
LJ Evans,male,Manchester Originals,27,409,26,7.0,260,32,21,72.0,0,0,,0,9,2
TK Curran,male,Oval Invincibles,20,373,16,9.0,211,30,23,67.0,382,564,21-3,29,8,3
NA Sowter,male,Oval Invincibles,13,21,4,2.0,12,3,0,7.0,200,300,34-3,7,7,0
S Mahmood,male,Oval Invincibles,7,9,3,2.0,12,0,0,7.0,120,186,19-2,4,3,0
RJW Topley,male,Northern Superchargers,19,23,2,2.0,11,5,0,12.0,329,512,20-3,20,2,0
PD Salt,male,Manchester Originals,27,707,27,1.0,436,74,32,86.0,0,0,,0,12,2
JC Buttler,male,Manchester Originals,17,632,17,1.0,446,52,25,82.0,0,0,,0,15,1
JM Clarke,male,Welsh Fire,23,412,23,2.0,326,39,15,69.0,0,0,,0,15,1
C Munro,male,Trent Rockets,23,592,22,6.0,382,50,28,67.0,0,0,,0,5,2
TA Lammonby,male,Manchester Originals,11,120,8,3.0,90,13,3,27.0,5,8,8-1,0,5,0
CR Brathwaite,male,Manchester Originals,7,94,6,2.0,67,4,7,37.0,91,150,13-2,6,5,0
CG Harrison,male,Manchester Originals,9,38,4,,34,5,0,23.0,95,131,14-5,5,7,1
TW Hartley,male,Manchester Originals,26,98,12,6.0,86,5,3,17.0,355,493,22-4,19,13,1
FJ Klaassen,male,Manchester Originals,8,11,4,2.0,13,1,0,6.0,114,195,23-3,6,3,0
ST Finn,male,Manchester Originals,5,11,1,1.0,7,2,0,11.0,55,111,22-2,6,2,0
MW Parkinson,male,Manchester Originals,16,11,4,1.0,13,0,1,6.0,267,356,11-4,7,3,1
Z Crawley,male,London Spirit,13,260,11,,212,32,7,64.0,0,0,,0,6,1
JP Inglis,male,London Spirit,8,176,8,,135,18,5,72.0,0,0,,0,4,0
DW Lawrence,male,London Spirit,16,286,14,,200,21,13,93.0,84,119,21-4,0,5,2
EJG Morgan,male,London Spirit,16,281,16,2.0,208,15,17,47.0,0,0,,0,4,0
JL Denly,male,London Spirit,5,66,5,,68,4,2,35.0,10,12,,1,2,0
RS Bopara,male,London Spirit,17,232,15,3.0,168,18,10,45.0,65,84,21-4,2,7,1
Mohammad Nabi,male,London Spirit,5,33,5,1.0,32,2,1,10.0,95,109,19-2,0,2,0
RE van der Merwe,male,Welsh Fire,20,133,12,10.0,99,12,3,30.0,245,416,16-2,18,8,0
BC Cullen,male,London Spirit,7,18,4,2.0,15,1,1,15.0,120,207,39-3,11,1,0
CP Wood,male,London Spirit,11,6,3,1.0,5,1,0,5.0,205,326,28-4,23,3,0
Mohammad Amir,male,London Spirit,4,18,3,1.0,21,1,0,16.0,77,135,34-2,12,0,0
FH Allen,male,Southern Brave,17,405,17,,276,45,16,69.0,0,0,,0,7,0
Miles Hammond,male,Birmingham Phoenix,16,232,14,4.0,172,26,6,44.0,0,0,,0,3,0
LS Livingstone,male,Birmingham Phoenix,21,621,21,4.0,410,32,46,92.0,153,242,25-3,4,4,2
MM Ali,male,Birmingham Phoenix,21,485,21,,330,26,35,59.0,220,313,13-2,2,9,1
DJ Bell-Drummond,male,London Spirit,8,152,8,,118,14,4,46.0,0,0,,0,2,1
CG Benjamin,male,Birmingham Phoenix,21,208,18,6.0,171,18,8,37.0,0,0,,0,9,1
BAC Howell,male,Birmingham Phoenix,24,183,18,7.0,138,12,6,23.0,420,524,21-4,10,7,0
CB Cooke,male,Birmingham Phoenix,4,20,3,,21,1,0,11.0,0,0,,0,1,0
AF Milne,male,Birmingham Phoenix,15,32,7,5.0,30,2,1,13.0,235,280,20-4,23,6,1
TG Helm,male,Birmingham Phoenix,19,53,7,2.0,53,3,2,17.0,260,440,19-4,25,5,0
Imran Tahir,male,Birmingham Phoenix,15,6,2,1.0,2,0,1,6.0,259,392,25-5,9,6,1
JM Vince,male,Southern Brave,26,556,24,3.0,401,56,18,71.0,0,0,,0,13,2
DP Conway,male,Southern Brave,13,312,13,3.0,263,32,4,54.0,0,0,,0,6,1
AL Davies,male,Southern Brave,18,357,16,3.0,282,32,6,51.0,0,0,,0,12,2
DMW Rawlins,male,Southern Brave,1,7,1,,7,1,0,7.0,0,0,,0,0,0
C de Grandhomme,male,Southern Brave,8,56,6,2.0,46,3,2,40.0,40,92,,8,2,0
RA Whiteley,male,Oval Invincibles,24,321,18,4.0,234,28,13,52.0,0,0,,0,11,0
LA Dawson,male,London Spirit,21,72,13,6.0,60,5,2,24.0,319,437,15-3,5,5,0
CJ Jordan,male,Southern Brave,19,183,10,5.0,104,11,13,70.0,326,500,21-4,21,4,2
GHS Garton,male,Southern Brave,21,99,11,2.0,79,10,4,28.0,320,508,7-3,29,3,3
DR Briggs,male,Oval Invincibles,11,40,5,4.0,24,5,1,29.0,140,203,18-2,0,1,0
TS Mills,male,Southern Brave,20,0,2,,3,0,0,0.0,367,474,13-4,20,3,1
DJM Short,male,Trent Rockets,9,156,9,3.0,129,20,2,69.0,20,35,,2,3,1
AD Hales,male,Trent Rockets,25,532,25,1.0,376,62,18,59.0,0,0,,0,12,2
DJ Malan,male,Trent Rockets,22,619,21,2.0,434,58,24,98.0,0,0,,0,4,4
JE Root,male,Trent Rockets,10,176,8,2.0,119,17,5,72.0,70,96,25-2,4,8,0
TJ Moores,male,Trent Rockets,14,79,8,2.0,65,1,5,19.0,0,0,,0,7,0
L Gregory,male,Trent Rockets,25,279,20,12.0,189,21,10,35.0,206,321,19-3,12,7,0
SJ Mullaney,male,Trent Rockets,6,92,5,,64,8,4,49.0,25,31,9-1,0,3,0
SR Patel,male,Trent Rockets,20,238,12,2.0,168,13,15,46.0,294,402,20-3,14,3,1
Rashid Khan,male,Trent Rockets,11,46,5,,35,4,3,25.0,210,302,16-3,10,6,1
L Wood,male,Trent Rockets,21,19,5,4.0,18,1,0,10.0,344,519,18-3,41,6,0
M de Lange,male,Trent Rockets,7,14,2,1.0,9,1,1,7.0,119,165,21-5,9,2,1
JM Bairstow,male,Welsh Fire,6,215,6,,165,14,11,72.0,0,0,,0,1,1
T Banton,male,Northern Superchargers,22,324,21,,263,28,14,81.0,0,0,,0,6,0
BM Duckett,male,Birmingham Phoenix,23,622,23,2.0,454,73,9,65.0,0,0,,0,9,0
GD Phillips,male,Welsh Fire,16,312,15,3.0,224,23,16,80.0,29,56,,0,9,1
JDS Neesham,male,Oval Invincibles,9,108,9,3.0,71,11,3,57.0,80,122,5-3,1,2,0
IA Cockbain,male,Trent Rockets,7,113,7,3.0,89,12,3,32.0,0,0,,0,4,0
MJJ Critchley,male,London Spirit,18,218,13,5.0,158,15,10,55.0,215,354,18-2,9,3,0
LE Plunkett,male,Welsh Fire,1,0,0,,0,0,0,,15,42,42-0,4,0,0
Qais Ahmad,male,Welsh Fire,8,15,3,1.0,12,3,0,13.0,155,193,13-4,2,0,1
JT Ball,male,Welsh Fire,12,1,1,1.0,6,0,0,1.0,226,342,29-4,15,3,0
DA Payne,male,Welsh Fire,22,10,5,1.0,11,0,1,8.0,381,632,18-3,17,2,0
A Lyth,male,Northern Superchargers,17,368,16,,233,29,23,79.0,20,24,24-2,0,4,2
CA Lynn,male,Northern Superchargers,7,150,7,,127,14,5,48.0,0,0,,0,0,0
BA Stokes,male,Northern Superchargers,2,10,2,,14,1,0,5.0,31,33,24-2,6,0,0
HC Brook,male,Northern Superchargers,19,512,18,5.0,305,43,25,105.0,0,0,,0,13,2
DJ Willey,male,Welsh Fire,21,300,19,5.0,238,18,14,81.0,304,444,9-2,7,9,1
T Kohler-Cadmore,male,Trent Rockets,20,390,20,,311,28,16,71.0,0,0,,0,8,0
JA Simpson,male,Northern Superchargers,11,183,10,2.0,129,21,4,71.0,0,0,,0,11,1
BA Carse,male,Northern Superchargers,13,83,9,4.0,67,7,2,33.0,135,250,13-1,8,6,0
MJ Potts,male,Northern Superchargers,9,29,3,3.0,18,3,1,20.0,140,238,23-1,10,5,0
AU Rashid,male,Northern Superchargers,23,38,7,1.0,40,4,1,13.0,442,565,18-4,10,6,0
Mujeeb Ur Rahman,male,Northern Superchargers,7,0,1,,2,0,0,0.0,130,159,6-2,2,2,0
CF Parkinson,male,Northern Superchargers,9,4,4,3.0,7,0,0,2.0,160,240,19-2,8,3,0
