player_name,match_id,batting_average,strike_rate,bowling_average,runs_per_ball
JJ Roy,1.0,20.0,1.67,,
JJ Roy,11.0,72.0,1.31,,
JJ Roy,14.0,40.0,1.31,,
JJ Roy,16.0,39.33,1.42,,
JJ Roy,20.0,58.0,1.55,,
JJ Roy,26.0,45.0,1.53,,
JJ Roy,28.0,37.2,1.49,,
JJ Roy,92.0,31.0,1.48,,
JJ Roy,95.0,28.0,1.44,,
JJ Roy,99.0,24.5,1.42,,
JJ Roy,104.0,21.78,1.4,,
JJ Roy,107.0,21.6,1.38,,
JJ Roy,113.0,21.55,1.35,,
JJ Roy,153.0,20.42,1.33,,
JJ Roy,158.0,18.85,1.32,,
JJ Roy,162.0,21.71,1.34,,
JJ Roy,164.0,20.27,1.33,,
JJ Roy,168.0,20.06,1.33,,
JJ Roy,170.0,20.24,1.32,,
JJ Roy,175.0,20.67,1.33,,
JJ Roy,178.0,20.58,1.33,,
SM Curran,1.0,6.0,2.0,14.0,1.4
SM Curran,92.0,7.0,1.4,19.0,1.42
SM Curran,95.0,13.33,1.21,20.25,1.35
SM Curran,99.0,25.0,1.39,21.8,1.36
SM Curran,104.0,27.75,1.32,24.0,1.43
SM Curran,107.0,27.6,1.34,26.43,1.53
SM Curran,113.0,28.0,1.37,30.86,1.59
SM Curran,117.0,24.86,1.34,23.2,1.49
SM Curran,122.0,24.75,1.34,26.8,1.52
SM Curran,153.0,25.78,1.32,23.0,1.53
SM Curran,158.0,23.3,1.3,25.54,1.54
SM Curran,162.0,21.82,1.29,26.92,1.55
SM Curran,164.0,22.0,1.33,25.4,1.55
SM Curran,168.0,21.15,1.29,26.19,1.58
SM Curran,170.0,22.14,1.34,27.0,1.6
SM Curran,175.0,21.2,1.3,26.5,1.56
SM Curran,178.0,19.88,1.3,27.89,1.56
SP Narine,1.0,2.0,0.4,23.0,1.15
SP Narine,11.0,12.0,1.5,19.0,0.95
SP Narine,14.0,14.33,1.59,28.5,0.95
SP Narine,16.0,14.33,1.59,33.0,1.24
SP Narine,20.0,11.0,1.47,19.0,1.27
SP Narine,26.0,9.6,1.5,19.71,1.25
SP Narine,28.0,10.33,1.32,20.75,1.28
SP Narine,92.0,11.83,1.31,19.1,1.27
SP Narine,95.0,12.83,1.31,16.38,1.25
SP Narine,99.0,11.57,1.31,14.06,1.18
SP Narine,104.0,11.57,1.31,15.31,1.17
SP Narine,107.0,13.0,1.28,16.06,1.19
SP Narine,113.0,13.75,1.26,15.47,1.18
SP Narine,153.0,15.38,1.34,14.67,1.14
SP Narine,158.0,13.89,1.3,15.9,1.17
SP Narine,162.0,13.89,1.3,14.42,1.13
SP Narine,164.0,13.89,1.3,15.24,1.17
SP Narine,168.0,14.5,1.36,16.52,1.2
WG Jacks,1.0,15.0,1.67,inf,1.6
WG Jacks,11.0,8.5,1.21,inf,1.6
WG Jacks,14.0,12.33,1.61,inf,1.5
WG Jacks,16.0,12.5,1.43,inf,1.5
WG Jacks,20.0,12.6,1.43,inf,1.5
WG Jacks,26.0,17.83,1.53,inf,1.73
WG Jacks,28.0,20.86,1.76,inf,1.73
WG Jacks,92.0,18.38,1.67,inf,1.73
WG Jacks,95.0,25.33,1.71,inf,1.73
WG Jacks,104.0,37.33,1.86,inf,1.73
WG Jacks,107.0,34.7,1.83,inf,1.73
WG Jacks,113.0,31.91,1.82,inf,1.73
WG Jacks,117.0,33.75,1.75,17.0,1.36
WG Jacks,122.0,31.31,1.73,17.0,1.36
WG Jacks,153.0,29.86,1.73,17.0,1.36
WG Jacks,158.0,28.93,1.72,17.0,1.36
WG Jacks,162.0,29.12,1.75,17.0,1.36
WG Jacks,164.0,29.76,1.74,17.0,1.36
WG Jacks,168.0,28.22,1.72,21.0,1.2
WG Jacks,170.0,30.32,1.71,16.0,1.28
WG Jacks,175.0,29.45,1.7,13.0,1.18
WG Jacks,178.0,29.52,1.68,14.6,1.22
SW Billings,1.0,49.0,1.63,,
SW Billings,11.0,26.0,1.53,,
SW Billings,14.0,46.0,1.35,,
SW Billings,16.0,38.67,1.36,,
SW Billings,20.0,30.5,1.37,,
SW Billings,26.0,26.2,1.35,,
SW Billings,28.0,23.83,1.31,,
SW Billings,92.0,20.57,1.3,,
SW Billings,95.0,19.75,1.27,,
SW Billings,104.0,18.44,1.26,,
SW Billings,107.0,16.6,1.23,,
SW Billings,113.0,15.09,1.22,,
SW Billings,117.0,15.45,1.24,,
SW Billings,122.0,18.58,1.31,,
SW Billings,153.0,19.08,1.34,,
SW Billings,158.0,18.0,1.33,,
SW Billings,162.0,18.36,1.34,,
