player_name,gender,current_team,games_played,runs_scored,innings,not_outs,balls_faced,fours,sixes,high_score,balls_bowled,runs_conceded,wickets_taken,extras,catches,POMs,bowler,sets
JJ Roy,male,Oval Invincibles,22,391,22,2.0,296,42,13,59.0,0,0,0.0,0,9,1,,
SM Curran,male,Oval Invincibles,18,318,18,1.0,246,20,16,60.0,341,527,19.0,26,11,2,SM Curran,68.2
SP Narine,male,Oval Invincibles,18,145,14,4.0,107,8,11,23.0,345,397,25.0,10,2,1,SP Narine,69.0
WG Jacks,male,Oval Invincibles,23,634,23,1.0,382,62,34,108.0,75,88,7.0,6,9,3,WG Jacks,15.0
SW Billings,male,Oval Invincibles,23,359,23,6.0,255,30,14,76.0,0,0,0.0,0,10,3,,
CA Ingram,male,Oval Invincibles,7,120,7,1.0,92,9,5,81.0,0,0,0.0,0,4,0,,
LJ Evans,male,Manchester Originals,27,409,26,7.0,260,32,21,72.0,0,0,0.0,0,9,2,,
TK Curran,male,Oval Invincibles,20,373,16,9.0,211,30,23,67.0,382,558,25.0,29,8,3,TK Curran,76.4
NA Sowter,male,Oval Invincibles,13,21,4,2.0,12,3,0,7.0,200,297,13.0,7,7,0,NA Sowter,40.0
S Mahmood,male,Oval Invincibles,7,9,3,2.0,12,0,0,7.0,120,173,5.0,4,3,0,S Mahmood,24.0
RJW Topley,male,Northern Superchargers,19,23,2,2.0,11,5,0,12.0,329,499,24.0,20,2,0,RJW Topley,65.8
PD Salt,male,Manchester Originals,27,707,27,1.0,436,74,32,86.0,0,0,0.0,0,12,2,,
JC Buttler,male,Manchester Originals,17,632,17,1.0,446,52,25,82.0,0,0,0.0,0,15,1,,
JM Clarke,male,Welsh Fire,23,412,23,2.0,326,39,15,69.0,0,0,0.0,0,15,1,,
C Munro,male,Trent Rockets,23,592,22,6.0,382,50,28,67.0,0,0,0.0,0,5,2,,
TA Lammonby,male,Manchester Originals,11,120,8,3.0,90,13,3,27.0,5,8,1.0,0,5,0,TA Lammonby,1.0
CR Brathwaite,male,Manchester Originals,7,94,6,2.0,67,4,7,37.0,91,149,3.0,6,5,0,CR Brathwaite,18.2
CG Harrison,male,Manchester Originals,9,38,4,,34,5,0,23.0,95,127,7.0,5,7,1,CG Harrison,19.0
TW Hartley,male,Manchester Originals,26,98,12,6.0,86,5,3,17.0,355,486,26.0,19,13,1,TW Hartley,71.0
FJ Klaassen,male,Manchester Originals,8,11,4,2.0,13,1,0,6.0,114,188,7.0,6,3,0,FJ Klaassen,22.8
ST Finn,male,Manchester Originals,5,11,1,1.0,7,2,0,11.0,55,115,6.0,6,2,0,ST Finn,11.0
MW Parkinson,male,Manchester Originals,16,11,4,1.0,13,0,1,6.0,267,350,21.0,7,3,1,MW Parkinson,53.4
Z Crawley,male,London Spirit,13,260,11,,212,32,7,64.0,0,0,0.0,0,6,1,,
JP Inglis,male,London Spirit,8,176,8,,135,18,5,72.0,0,0,0.0,0,4,0,,
DW Lawrence,male,London Spirit,16,286,14,,200,21,13,93.0,84,116,6.0,0,5,2,DW Lawrence,16.8
EJG Morgan,male,London Spirit,16,281,16,2.0,208,15,17,47.0,0,0,0.0,0,4,0,,
JL Denly,male,London Spirit,5,66,5,,68,4,2,35.0,10,12,0.0,1,2,0,JL Denly,2.0
RS Bopara,male,London Spirit,17,232,15,3.0,168,18,10,45.0,65,85,7.0,2,7,1,RS Bopara,13.0
Mohammad Nabi,male,London Spirit,5,33,5,1.0,32,2,1,10.0,95,107,6.0,0,2,0,Mohammad Nabi,19.0
RE van der Merwe,male,Welsh Fire,20,133,12,10.0,99,12,3,30.0,245,416,14.0,18,8,0,RE van der Merwe,49.0
BC Cullen,male,London Spirit,7,18,4,2.0,15,1,1,15.0,120,210,11.0,11,1,0,BC Cullen,24.0
CP Wood,male,London Spirit,11,6,3,1.0,5,1,0,5.0,205,335,8.0,23,3,0,CP Wood,41.0
Mohammad Amir,male,London Spirit,4,18,3,1.0,21,1,0,16.0,77,132,3.0,12,0,0,Mohammad Amir,15.4
FH Allen,male,Southern Brave,17,405,17,,276,45,16,69.0,0,0,0.0,0,7,0,,
Miles Hammond,male,Birmingham Phoenix,16,232,14,4.0,172,26,6,44.0,0,0,0.0,0,3,0,,
LS Livingstone,male,Birmingham Phoenix,21,621,21,4.0,410,32,46,92.0,153,241,9.0,4,4,2,LS Livingstone,30.6
MM Ali,male,Birmingham Phoenix,21,485,21,,330,26,35,59.0,220,310,12.0,2,9,1,MM Ali,44.0
DJ Bell-Drummond,male,London Spirit,8,152,8,,118,14,4,46.0,0,0,0.0,0,2,1,,
CG Benjamin,male,Birmingham Phoenix,21,208,18,6.0,171,18,8,37.0,0,0,0.0,0,9,1,,
BAC Howell,male,Birmingham Phoenix,24,183,18,7.0,138,12,6,23.0,420,519,28.0,10,7,0,BAC Howell,84.0
CB Cooke,male,Birmingham Phoenix,4,20,3,,21,1,0,11.0,0,0,0.0,0,1,0,,
AF Milne,male,Birmingham Phoenix,15,32,7,5.0,30,2,1,13.0,235,265,26.0,23,6,1,AF Milne,47.0
TG Helm,male,Birmingham Phoenix,19,53,7,2.0,53,3,2,17.0,260,429,22.0,25,5,0,TG Helm,52.0
Imran Tahir,male,Birmingham Phoenix,15,6,2,1.0,2,0,1,6.0,259,391,12.0,9,6,1,Imran Tahir,51.8
JM Vince,male,Southern Brave,26,556,24,3.0,401,56,18,71.0,0,0,0.0,0,13,2,,
DP Conway,male,Southern Brave,13,312,13,3.0,263,32,4,54.0,0,0,0.0,0,6,1,,
AL Davies,male,Southern Brave,18,357,16,3.0,282,32,6,51.0,0,0,0.0,0,12,2,,
DMW Rawlins,male,Southern Brave,1,7,1,,7,1,0,7.0,0,0,0.0,0,0,0,,
C de Grandhomme,male,Southern Brave,8,56,6,2.0,46,3,2,40.0,40,92,0.0,8,2,0,C de Grandhomme,8.0
RA Whiteley,male,Oval Invincibles,24,321,18,4.0,234,28,13,52.0,0,0,0.0,0,11,0,,
LA Dawson,male,London Spirit,21,72,13,6.0,60,5,2,24.0,319,428,17.0,5,5,0,LA Dawson,63.8
CJ Jordan,male,Southern Brave,19,183,10,5.0,104,11,13,70.0,326,488,26.0,21,4,2,CJ Jordan,65.2
GHS Garton,male,Southern Brave,21,99,11,2.0,79,10,4,28.0,320,496,19.0,29,3,3,GHS Garton,64.0
DR Briggs,male,Oval Invincibles,11,40,5,4.0,24,5,1,29.0,140,202,10.0,0,1,0,DR Briggs,28.0
TS Mills,male,Southern Brave,20,0,2,,3,0,0,0.0,367,451,26.0,20,3,1,TS Mills,73.4
DJM Short,male,Trent Rockets,9,156,9,3.0,129,20,2,69.0,20,39,0.0,2,3,1,DJM Short,4.0
AD Hales,male,Trent Rockets,25,532,25,1.0,376,62,18,59.0,0,0,0.0,0,12,2,,
DJ Malan,male,Trent Rockets,22,619,21,2.0,434,58,24,98.0,0,0,0.0,0,4,4,,
JE Root,male,Trent Rockets,10,176,8,2.0,119,17,5,72.0,70,94,3.0,4,8,0,JE Root,14.0
TJ Moores,male,Trent Rockets,14,79,8,2.0,65,1,5,19.0,0,0,0.0,0,7,0,,
L Gregory,male,Trent Rockets,25,279,20,12.0,189,21,10,35.0,206,313,9.0,12,7,0,L Gregory,41.2
SJ Mullaney,male,Trent Rockets,6,92,5,,64,8,4,49.0,25,31,2.0,0,3,0,SJ Mullaney,5.0
SR Patel,male,Trent Rockets,20,238,12,2.0,168,13,15,46.0,294,401,21.0,14,3,1,SR Patel,58.8
Rashid Khan,male,Trent Rockets,11,46,5,,35,4,3,25.0,210,295,15.0,10,6,1,Rashid Khan,42.0
L Wood,male,Trent Rockets,21,19,5,4.0,18,1,0,10.0,344,512,21.0,41,6,0,L Wood,68.8
M de Lange,male,Trent Rockets,7,14,2,1.0,9,1,1,7.0,119,162,15.0,9,2,1,M de Lange,23.8
JM Bairstow,male,Welsh Fire,6,215,6,,165,14,11,72.0,0,0,0.0,0,1,1,,
T Banton,male,Northern Superchargers,22,324,21,,263,28,14,81.0,0,0,0.0,0,6,0,,
BM Duckett,male,Birmingham Phoenix,23,622,23,2.0,454,73,9,65.0,0,0,0.0,0,9,0,,
GD Phillips,male,Welsh Fire,16,312,15,3.0,224,23,16,80.0,29,56,0.0,0,9,1,GD Phillips,5.8
JDS Neesham,male,Oval Invincibles,9,108,9,3.0,71,11,3,57.0,80,121,7.0,1,2,0,JDS Neesham,16.0
IA Cockbain,male,Trent Rockets,7,113,7,3.0,89,12,3,32.0,0,0,0.0,0,4,0,,
MJJ Critchley,male,London Spirit,18,218,13,5.0,158,15,10,55.0,215,348,10.0,9,3,0,MJJ Critchley,43.0
LE Plunkett,male,Welsh Fire,1,0,0,,0,0,0,,15,49,0.0,4,0,0,LE Plunkett,3.0
Qais Ahmad,male,Welsh Fire,8,15,3,1.0,12,3,0,13.0,155,189,8.0,2,0,1,Qais Ahmad,31.0
JT Ball,male,Welsh Fire,12,1,1,1.0,6,0,0,1.0,226,331,14.0,15,3,0,JT Ball,45.2
DA Payne,male,Welsh Fire,22,10,5,1.0,11,0,1,8.0,381,615,20.0,17,2,0,DA Payne,76.2
