match_id,team,competition,average_first_innings_runs_scored_per_game,average_second_innings_runs_scored_per_game,average_wickets_lost_per_game,average_runs_per_wicket_lost,average_first_innings_runs_conceded_per_game,average_second_innings_runs_conceded_per_game,average_wickets_taken_per_game,average_runs_per_wicket_taken,average_runs_scored_per_ball,average_runs_conceded_per_ball
1.0,Manchester Originals,male,0.0,136.0,7.0,19.4,0.0,145.0,8.0,18.1,1.36,1.45
5.0,Manchester Originals,male,0.0,112.5,5.5,20.5,0.0,116.0,9.0,12.9,1.22,1.34
10.0,Manchester Originals,male,0.0,126.0,4.7,27.0,0.0,127.3,8.0,15.9,1.33,1.43
22.0,Manchester Originals,male,0.0,128.5,5.8,22.3,0.0,131.0,7.5,17.5,1.34,1.42
24.0,Manchester Originals,male,0.0,129.0,6.6,19.5,0.0,144.8,7.0,20.7,1.33,1.55
27.0,Manchester Originals,male,135.0,107.5,6.8,19.0,136.0,120.7,6.3,22.6,1.34,1.52
93.0,Manchester Originals,male,148.0,107.5,6.4,20.9,149.0,120.7,6.0,24.3,1.4,1.53
96.0,Manchester Originals,male,98.7,125.5,6.9,19.1,99.3,147.3,6.0,24.6,1.36,1.55
101.0,Manchester Originals,male,161.7,107.6,6.4,21.3,163.7,126.3,5.6,27.5,1.43,1.59
106.0,Manchester Originals,male,158.5,107.6,6.7,20.7,148.2,126.3,6.0,24.6,1.45,1.53
108.0,Manchester Originals,male,164.4,107.6,6.4,22.5,142.6,126.3,6.4,22.8,1.51,1.5
111.0,Manchester Originals,male,171.7,107.6,6.2,23.8,149.7,126.3,6.4,23.1,1.56,1.53
118.0,Manchester Originals,male,169.1,107.6,6.2,23.9,139.0,126.3,6.7,21.3,1.59,1.47
122.0,Manchester Originals,male,148.0,128.1,6.1,24.5,121.6,146.7,6.9,20.8,1.58,1.47
123.0,Manchester Originals,male,148.0,131.0,6.0,24.8,121.6,147.1,6.9,20.9,1.58,1.48
124.0,Manchester Originals,male,163.0,116.4,6.2,23.8,136.8,130.8,6.9,20.5,1.55,1.46
152.0,Manchester Originals,male,144.9,125.9,6.1,23.7,121.6,141.2,6.7,20.7,1.57,1.48
159.0,Manchester Originals,male,162.7,113.3,6.2,23.4,133.9,127.1,6.9,20.0,1.57,1.46
162.0,Manchester Originals,male,146.4,122.5,6.4,22.2,120.5,145.7,6.8,20.6,1.54,1.49
167.0,Manchester Originals,male,164.6,111.4,6.4,22.6,134.6,132.5,6.9,20.3,1.56,1.5
172.0,Manchester Originals,male,166.1,111.4,6.3,22.9,137.9,132.5,6.8,20.8,1.57,1.51
176.0,Manchester Originals,male,165.9,111.4,6.3,23.1,133.3,132.5,7.0,20.0,1.59,1.47
33.0,Manchester Originals,female,135.0,0.0,0.3,22.5,139.0,0.0,0.2,27.8,1.38,1.38
38.0,Manchester Originals,female,67.5,93.0,0.6,16.3,69.5,113.0,0.6,18.0,1.15,1.25
43.0,Manchester Originals,female,127.5,46.5,0.8,17.4,131.5,56.5,0.6,25.1,1.22,1.25
50.0,Manchester Originals,female,85.0,95.0,0.8,21.2,87.7,118.0,0.8,22.7,1.15,1.35
54.0,Manchester Originals,female,127.3,63.3,1.0,22.0,131.3,78.7,1.0,23.3,1.18,1.34
56.0,Manchester Originals,female,95.5,105.7,1.0,25.0,98.5,120.7,1.1,23.6,1.2,1.36
59.0,Manchester Originals,female,95.5,110.2,1.0,28.4,98.5,121.0,1.3,23.1,1.2,1.36
67.0,Manchester Originals,female,95.5,103.4,1.3,23.1,98.5,120.6,1.4,23.2,1.15,1.36
72.0,Manchester Originals,female,134.5,86.2,1.3,25.7,134.8,100.5,1.5,24.8,1.19,1.37
74.0,Manchester Originals,female,107.6,107.3,1.5,24.1,107.8,123.2,1.6,25.1,1.2,1.37
77.0,Manchester Originals,female,139.6,92.0,1.6,25.8,140.0,105.6,1.6,26.6,1.24,1.39
84.0,Manchester Originals,female,136.7,92.0,1.7,25.2,134.0,105.6,1.9,24.1,1.24,1.36
88.0,Manchester Originals,female,117.1,110.7,1.8,24.9,114.9,128.9,1.9,25.8,1.24,1.38
130.0,Manchester Originals,female,117.1,108.2,1.9,24.4,114.9,123.6,2.1,23.6,1.22,1.35
133.0,Manchester Originals,female,117.1,109.9,2.1,23.2,114.9,124.1,2.2,23.1,1.22,1.34
138.0,Manchester Originals,female,117.1,109.7,2.2,22.6,114.9,125.0,2.3,23.3,1.21,1.36
143.0,Manchester Originals,female,132.4,99.7,2.3,22.5,130.6,113.6,2.3,24.3,1.23,1.34
147.0,Manchester Originals,female,115.9,109.5,2.4,22.0,114.2,123.4,2.4,23.4,1.22,1.33
1.0,Oval Invincibles,male,145.0,0.0,8.0,18.1,136.0,0.0,7.0,19.4,1.45,1.36
11.0,Oval Invincibles,male,136.0,0.0,7.0,19.4,132.0,0.0,5.5,24.0,1.38,1.32
14.0,Oval Invincibles,male,90.7,125.0,6.0,22.1,88.0,121.0,6.0,21.4,1.34,1.31
16.0,Oval Invincibles,male,148.0,62.5,5.2,27.1,146.0,60.5,5.5,25.4,1.46,1.42
20.0,Oval Invincibles,male,142.2,62.5,5.4,25.7,138.5,60.5,6.0,22.5,1.52,1.47
26.0,Oval Invincibles,male,113.8,136.0,5.8,24.0,110.8,133.5,6.2,22.2,1.51,1.48
28.0,Oval Invincibles,male,140.6,90.7,6.0,23.2,137.8,89.0,5.9,23.3,1.5,1.46
92.0,Oval Invincibles,male,117.2,146.7,6.1,23.3,114.8,146.0,5.9,24.0,1.52,1.5
95.0,Oval Invincibles,male,143.5,110.0,6.0,24.1,134.7,109.5,5.9,23.5,1.53,1.46
99.0,Oval Invincibles,male,123.0,149.5,6.1,23.9,115.4,148.8,6.0,23.4,1.53,1.48
104.0,Oval Invincibles,male,123.0,148.0,5.8,25.0,115.4,146.4,6.0,23.3,1.52,1.49
107.0,Oval Invincibles,male,123.0,149.3,5.8,25.5,115.4,152.2,5.8,24.6,1.53,1.52
113.0,Oval Invincibles,male,123.0,150.3,5.9,24.8,115.4,154.1,5.8,24.8,1.53,1.53
117.0,Oval Invincibles,male,123.0,147.0,5.8,25.1,115.4,150.1,5.9,24.2,1.51,1.52
