match_id,player_name,balls_bowled,runs_conceded,how_many_out,extras
125,A King,15,24,1,0
125,A Shrubsole,22,21,2,2
125,A Stonehouse,14,8,0,8
125,BF Smith,20,34,2,0
125,CL Tryon,20,19,0,0
125,GL Adams,20,25,2,0
125,KH Brunt,17,30,0,2
125,KL Gordon,20,17,2,0
125,M Brown,22,39,0,2
125,MLL Taylor,20,18,3,0
125,ND Dattani,21,29,1,1
126,AN Davidson-Richards,21,18,4,2
126,C Pavely,5,9,0,0
126,EA Burns,16,15,0,2
126,EL Arlott,5,7,0,0
126,G Ballinger,20,24,0,0
126,G Wareham,21,23,1,1
126,HL Baker,13,20,1,0
126,IECM Wong,5,9,1,0
126,KA Levick,20,18,1,0
126,KL Cross,20,26,2,0
126,L Dobson,5,6,0,0
126,LCN Smith,15,10,1,0
126,SFM Devine,12,12,0,2
126,T Flintoff,5,16,0,0
127,A Griffiths,20,26,2,0
127,A Hartley,15,22,0,0
127,A Shrubsole,20,42,1,0
127,C Nicholas,10,13,0,0
127,CL Tryon,21,27,1,1
127,FR Davies,17,34,0,2
127,GL Adams,20,38,1,0
127,HK Matthews,21,34,2,1
127,K Moore,21,12,0,1
127,M Brown,7,16,0,3
127,MLL Taylor,15,25,0,0
127,S Ismail,21,27,0,1
128,A Shrubsole,21,12,2,1
128,AN Davidson-Richards,12,26,0,0
128,CL Tryon,20,25,2,0
128,G Ballinger,5,8,0,0
128,G Wareham,20,15,2,0
128,GL Adams,20,21,3,0
128,JI Rodrigues,10,18,0,0
128,K Moore,20,22,0,0
128,KL Cross,21,13,1,0
128,LCN Smith,21,10,2,1
128,LK Bell,20,14,1,0
129,A Capsey,5,7,0,0
129,A Griffiths,21,14,3,1
129,C Nicholas,21,16,1,1
129,E Gray,5,6,0,0
129,FR Davies,18,15,1,0
129,GA Elwiss,10,4,2,0
129,HK Matthews,5,8,0,0
129,LE Scott,5,9,0,0
129,M Kapp,21,17,4,1
129,PJ Scholfield,21,18,2,1
129,R MacDonald-Gay,15,17,0,0
129,S Ismail,20,12,3,0
129,SIR Dunkley,5,6,0,0
129,Sophia Smale,10,5,1,0
130,A Wellington,20,16,1,0
130,C Pavely,5,3,0,0
130,EA Burns,15,14,0,0
130,EL Arlott,5,3,0,0
130,FMK Morris,16,7,5,0
130,HL Baker,21,14,2,1
130,IECM Wong,5,5,0,0
130,KA Levick,20,12,2,0
130,KE Bryce,10,14,0,0
130,KL George,12,17,0,3
130,M Gaur,20,18,0,0
130,S Ecclestone,20,11,4,0
130,SFM Devine,15,21,0,2
130,T Flintoff,15,10,1,0
131,A Shrubsole,12,11,0,2
131,AC Kerr,20,31,0,0
131,CE Dean,11,11,1,1
131,CL Tryon,15,15,0,0
131,DR Gibson,19,17,1,2
131,GL Adams,20,11,4,0
131,K Moore,15,31,0,0
131,L Filer,13,13,0,3
131,LK Bell,21,23,1,1
131,M Brown,5,6,0,0
131,S Glenn,20,15,3,0
131,TG Norris,5,13,0,0
132,A King,21,30,1,5
132,A Stonehouse,10,10,1,0
132,AN Davidson-Richards,10,13,0,0
132,BF Smith,16,18,0,2
132,G Ballinger,15,18,0,0
132,G Wareham,22,20,2,4
132,KH Brunt,15,8,0,0
132,KL Cross,15,14,0,0
132,KL Gordon,20,25,1,0
132,LCN Smith,20,27,2,0
132,LF Higham,20,29,3,0
132,ND Dattani,22,33,1,2
133,A Capsey,7,11,0,2
133,A Wellington,20,29,2,0
133,E Gray,20,18,2,0
133,FMK Morris,15,19,1,0
133,KE Bryce,10,9,0,0
133,KL George,17,27,0,4
133,M Gaur,20,13,1,0
133,M Kapp,20,24,1,0
133,PJ Scholfield,21,19,1,1
133,R MacDonald-Gay,21,15,5,1
133,S Ecclestone,20,22,3,0
133,Sophia Smale,15,24,0,0
134,A Griffiths,20,23,1,0
134,C Nicholas,20,26,0,0
134,EA Burns,11,5,0,1
134,EL Arlott,21,28,2,5
134,FR Davies,20,20,0,0
134,GA Elwiss,10,17,0,0
134,HL Baker,20,21,2,0
134,IECM Wong,13,11,0,7
134,KA Levick,21,27,2,1
134,S Ismail,21,30,3,1
134,SFM Devine,10,19,0,0
134,SIR Dunkley,10,16,0,0
134,T Flintoff,10,11,1,0
135,A Capsey,15,16,1,0
135,AN Davidson-Richards,21,24,1,2
135,E Gray,10,13,1,0
135,G Ballinger,21,19,0,2
135,G Wareham,20,20,2,0
135,KL Cross,20,32,1,0
135,LCN Smith,20,26,1,0
135,M Kapp,21,20,2,2
135,MK Villiers,21,25,0,1
135,PJ Scholfield,10,23,0,0
135,R MacDonald-Gay,15,30,0,0
135,Sophia Smale,11,12,0,1
136,A King,20,18,1,0
136,A Stonehouse,21,26,0,1
136,AC Kerr,10,18,0,0
136,BF Smith,20,19,1,0
136,CE Dean,15,11,1,0
