Transaction ID,Sale ID,Overall Score,Durability Score,Quality Score,Color Score,Value For Money Score,Fit Score
AAA118147,1,76,93,96,100,87,80
AAA118148,2,98,89,91,95,82,89
AAA118149,1,74,79,41,92,48,85
AAA118150,1,83,83,62,64,58,90
AAA118151,2,84,84,48,69,59,84
AAA118151,3,94,99,96,76,94,92
AAA118152,1,94,85,54,76,75,91
AAA118153,1,93,97,88,40,65,89
AAA118154,1,88,77,52,64,79,88
AAA118157,1,99,89,84,93,81,80
AAA118158,2,89,69,50,96,100,89
AAA118158,3,96,92,89,100,66,97
AAA118159,1,77,96,86,42,95,91
AAA118160,1,93,79,82,67,91,85
AAA118162,1,91,97,84,76,77,90
AAA118162,2,90,95,83,60,90,88
AAA118162,3,73,96,95,60,94,89
AAA118163,1,97,94,89,55,89,84
AAA118163,2,92,96,94,92,90,91
AAA118163,3,90,94,98,41,60,85
AAA118164,1,91,95,92,77,87,84
AAA118166,1,90,87,86,73,88,100
AAA118166,2,73,83,44,62,59,93
AAA118167,1,85,96,93,44,79,86
AAA118169,1,94,95,89,70,85,92
AAA118169,2,66,82,42,69,60,92
AAA118169,3,84,97,81,39,95,79
AAA118170,1,93,95,88,43,65,100
AAA118172,2,93,97,94,76,98,84
AAA118172,3,86,97,86,65,74,84
AAA118174,1,46,78,48,39,44,99
AAA118174,2,90,94,93,63,92,87
AAA118174,4,84,98,97,22,95,79
AAA118175,1,62,88,81,92,75,79
AAA118175,2,99,78,85,92,73,86
AAA118175,4,61,89,51,98,49,81
AAA118176,1,91,87,90,78,91,87
AAA118176,3,30,78,47,48,44,78
AAA118181,1,85,90,91,88,64,88
AAA118181,2,87,87,44,97,62,82
AAA118181,3,95,97,81,58,83,82
AAA118183,1,54,77,45,80,63,90
AAA118184,1,79,79,91,95,70,84
AAA118185,1,97,83,90,98,90,82
AAA118186,1,82,88,46,85,57,90
AAA118186,2,71,82,85,91,53,89
AAA118186,3,90,95,94,53,97,79
AAA118187,1,81,82,83,100,73,81
AAA118188,1,90,77,90,81,92,85
AAA118190,1,89,97,97,78,86,89
AAA118190,2,76,85,37,59,73,79
AAA118190,3,64,81,92,71,46,96
AAA118191,1,85,91,100,88,82,92
AAA118192,1,99,100,99,60,91,86
AAA118193,3,97,90,91,93,77,80
AAA118193,5,75,100,95,42,72,80
AAA118194,2,47,94,93,70,83,89
AAA118196,1,84,93,92,49,95,79
AAA118197,1,98,100,95,73,74,94
AAA118198,1,86,75,54,94,100,90
AAA118198,2,92,81,47,34,69,83
AAA118198,3,82,98,89,63,94,88
AAA118199,1,100,97,84,82,91,92
AAA118199,3,46,77,41,83,76,86
AAA118200,2,100,100,83,74,79,84
AAA118202,1,59,89,47,78,81,83
AAA118202,2,74,86,40,51,71,84
AAA118202,3,57,75,39,65,32,96
AAA118203,1,50,87,47,94,76,88
AAA118204,1,94,98,95,56,84,88
AAA118206,1,78,99,89,85,63,81
AAA118207,1,92,98,98,64,80,79
AAA118207,2,93,97,85,61,88,90
AAA118207,3,80,89,80,99,79,81
AAA118208,1,99,94,93,68,85,79
AAA118209,1,95,93,91,65,75,86
AAA118209,3,71,86,98,93,74,85
AAA118210,1,62,84,50,65,53,78
AAA118212,1,71,72,54,85,88,82
AAA118213,2,63,80,43,61,68,83
AAA118214,1,84,97,89,84,79,83
AAA118215,2,51,63,49,66,44,82
AAA118215,3,70,80,37,62,78,82
AAA118216,1,96,91,97,97,63,91
AAA118216,2,97,93,90,51,92,94
AAA118216,3,85,93,97,72,91,85
AAA118217,1,64,87,75,54,62,91
AAA118218,1,79,77,40,69,95,92
AAA118219,3,98,87,93,91,78,86
AAA118220,1,85,84,87,100,52,89
AAA118221,2,62,87,30,96,63,80
AAA118222,1,87,91,97,96,76,82
AAA118223,1,98,84,89,98,70,84
AAA118223,3,100,98,91,74,72,79
AAA118226,1,76,90,97,79,56,99
AAA118228,1,96,100,91,88,96,86
AAA118229,1,65,68,44,71,66,91
AAA118229,2,92,98,89,89,47,93
AAA118230,1,86,94,88,84,74,79
AAA118230,2,86,99,90,68,86,84
AAA118231,1,89,85,88,100,97,94
AAA118231,2,82,92,95,44,70,91
AAA118233,1,82,84,54,46,75,90
AAA118233,3,86,99,95,65,75,80
AAA118234,1,96,81,96,83,99,88
AAA118235,1,83,70,88,64,75,78
AAA118236,2,94,95,87,57,79,92
AAA118236,3,85,78,57,68,72,86
AAA118237,1,92,100,84,80,85,99
AAA118238,1,87,82,90,61,50,87
AAA118239,1,93,93,98,32,78,86
AAA118240,1,84,99,82,51,73,92
AAA118241,1,79,86,95,99,69,86
AAA118242,3,95,81,90,79,71,90
AAA118242,4,99,100,96,96,96,82
AAA118242,5,93,80,92,99,70,92
AAA118243,1,92,98,85,73,71,85
AAA118245,1,97,89,92,76,89,80
AAA118246,1,86,80,82,95,78,88
AAA118246,3,67,75,94,64,72,91
AAA118248,1,94,93,100,67,64,90
AAA118249,1,94,95,99,99,95,97
AAA118250,1,96,98,88,60,71,82
AAA118250,2,80,87,84,59,85,83
AAA118251,1,93,87,83,86,73,95
AAA118252,1,91,80,42,59,88,91
AAA118252,2,83,97,95,41,85,84
AAA118254,1,79,72,93,64,77,93
AAA118255,2,90,97,95,94,60,87
AAA118255,3,83,81,91,88,80,83
AAA118256,2,61,84,34,63,64,82
AAA118256,3,87,82,32,81,68,80
AAA118258,1,90,73,87,94,94,92
AAA118258,2,99,91,97,51,86,78
AAA118258,3,82,91,92,72,58,84
AAA118260,1,97,89,88,80,95,89
AAA118261,1,71,73,42,85,52,87
AAA118262,1,86,98,94,64,98,87
AAA118263,1,89,82,90,99,86,82
AAA118264,2,100,99,94,40,89,87
AAA118265,1,99,74,88,100,89,90
AAA118265,2,94,94,97,73,79,91
AAA118266,1,90,86,95,96,66,79
AAA118267,1,86,97,90,88,81,96
AAA118269,1,71,85,89,98,67,98
AAA118271,2,84,97,92,63,75,99
AAA118272,1,69,99,94,53,95,92
AAA118273,1,76,97,80,65,60,98
AAA118273,3,59,96,91,67,67,87
AAA118274,1,83,70,46,80,49,87
AAA118275,1,96,79,100,77,68,87
AAA118276,1,91,93,88,90,100,96
AAA118277,1,88,86,91,87,76,94
AAA118277,2,98,99,84,52,88,85
AAA118278,1,92,95,96,97,88,92
AAA118279,1,85,88,84,95,61,85
AAA118280,1,84,94,95,83,98,87
AAA118280,2,95,75,49,85,69,93
AAA118281,1,67,84,42,49,44,81
AAA118283,1,83,95,96,64,86,98
AAA118284,1,88,86,93,98,76,91
AAA118284,2,59,94,95,55,77,82
AAA118284,3,95,98,95,67,64,89
AAA118286,1,90,81,43,99,56,86
AAA118286,2,99,85,94,94,94,83
AAA118286,3,97,93,92,33,100,85
AAA118286,4,78,97,96,80,72,85
AAA118287,1,78,98,87,59,72,92
AAA118287,2,90,75,49,57,67,88
AAA118287,3,84,77,89,92,72,97
AAA118287,4,81,77,36,93,69,79
AAA118287,5,55,73,42,99,81,80
AAA118288,1,96,100,88,82,97,84
