transaction_id,sale_id,product_id,member_id,sale_date
AAA118146,1,ojean,jbon3303,10/1/2023
AAA118147,1,vh_white,,10/1/2023
AAA118148,1,vt_black,jgon2541,10/1/2023
AAA118148,2,vh_white,jgon2541,10/1/2023
AAA118148,3,pjean,jgon2541,10/1/2023
AAA118149,1,ppolo,apat1921,10/1/2023
AAA118150,1,pt_grey,,10/1/2023
AAA118150,2,opolo,,10/1/2023
AAA118150,3,ot_white,,10/1/2023
AAA118151,1,ot_grey,chud2976,10/1/2023
AAA118151,2,pt_black,chud2976,10/1/2023
AAA118151,3,oh_white,chud2976,10/1/2023
AAA118152,1,pt_white,,10/1/2023
AAA118153,1,oh_grey,cdon5379,10/1/2023
AAA118154,1,pt_black,,10/1/2023
AAA118155,1,pjean,,10/1/2023
AAA118156,1,ot_grey,,10/1/2023
AAA118157,1,opolo,kgay9073,10/1/2023
AAA118158,1,vt_black,,10/1/2023
AAA118158,2,ppolo,,10/1/2023
AAA118158,3,vt_white,,10/1/2023
AAA118158,4,ot_black,,10/1/2023
AAA118159,1,ot_black,,10/1/2023
AAA118160,1,vh_white,,10/1/2023
AAA118161,1,ph_white,,10/1/2023
AAA118162,1,opolo,jalv7949,10/1/2023
AAA118162,2,opolo,jalv7949,10/1/2023
AAA118162,3,opolo,jalv7949,10/1/2023
AAA118163,1,ot_black,,10/1/2023
AAA118163,2,oh_white,,10/1/2023
AAA118163,3,ot_black,,10/1/2023
AAA118164,1,ot_grey,,10/1/2023
AAA118164,2,ot_white,,10/1/2023
AAA118165,1,ph_white,,10/1/2023
AAA118166,1,vt_grey,jham9240,10/1/2023
AAA118166,2,pt_grey,jham9240,10/1/2023
AAA118167,1,ot_grey,,10/1/2023
AAA118168,1,ot_black,,10/1/2023
AAA118169,1,ot_white,,10/1/2023
AAA118169,2,pt_black,,10/1/2023
AAA118169,3,ot_grey,,10/1/2023
AAA118170,1,ot_white,,10/1/2023
AAA118171,1,opolo,,10/1/2023
AAA118172,1,pt_black,rwol4279,10/1/2023
AAA118172,2,ot_grey,rwol4279,10/1/2023
AAA118172,3,opolo,rwol4279,10/1/2023
AAA118173,1,vpolo,vbus1463,10/1/2023
AAA118174,1,ppolo,,10/1/2023
AAA118174,2,ot_black,,10/1/2023
AAA118174,3,vh_black,,10/1/2023
AAA118174,4,ot_black,,10/1/2023
AAA118175,1,vt_grey,mmil9870,10/1/2023
AAA118175,2,vh_white,mmil9870,10/1/2023
AAA118175,3,pt_black,mmil9870,10/1/2023
AAA118175,4,pt_grey,mmil9870,10/1/2023
AAA118175,5,vt_white,mmil9870,10/1/2023
AAA118176,1,vh_black,,10/1/2023
AAA118176,2,oh_black,,10/1/2023
AAA118176,3,pt_grey,,10/1/2023
AAA118177,1,ot_grey,bbro1532,10/1/2023
AAA118178,1,ph_grey,,10/1/2023
AAA118179,1,vt_white,,10/1/2023
AAA118180,1,ojean,anie3801,10/1/2023
AAA118181,1,vt_black,cbla3118,10/1/2023
AAA118181,2,ph_white,cbla3118,10/1/2023
AAA118181,3,ot_grey,cbla3118,10/1/2023
AAA118182,1,vt_white,twei2787,10/1/2023
AAA118183,1,ppolo,,10/1/2023
AAA118184,1,vh_white,,10/1/2023
AAA118185,1,vpolo,amil6834,10/1/2023
AAA118186,1,pt_grey,scol4403,10/1/2023
AAA118186,2,vpolo,scol4403,10/1/2023
AAA118186,3,ot_grey,scol4403,10/1/2023
AAA118187,1,vpolo,,10/1/2023
AAA118187,2,oh_black,,10/1/2023
AAA118188,1,vpolo,ledw5583,10/1/2023
AAA118189,1,opolo,,10/1/2023
AAA118190,1,opolo,,10/1/2023
AAA118190,2,pt_black,,10/1/2023
AAA118190,3,vt_black,,10/1/2023
AAA118191,1,vt_white,,10/1/2023
AAA118192,1,oh_grey,,10/1/2023
AAA118193,1,vpolo,,10/1/2023
AAA118193,2,pt_white,,10/1/2023
AAA118193,3,vt_black,,10/1/2023
AAA118193,4,vt_black,,10/1/2023
AAA118193,5,ot_black,,10/1/2023
AAA118194,1,vt_black,kmil2269,10/1/2023
AAA118194,2,ot_black,kmil2269,10/1/2023
AAA118195,1,ot_black,,10/1/2023
AAA118195,2,ot_black,,10/1/2023
AAA118196,1,ot_black,,10/1/2023
AAA118197,1,ojean,,10/1/2023
AAA118198,1,ph_white,kmcc6228,10/1/2023
AAA118198,2,pt_black,kmcc6228,10/1/2023
AAA118198,3,opolo,kmcc6228,10/1/2023
AAA118199,1,ot_white,dpar5700,10/1/2023
AAA118199,2,ot_black,dpar5700,10/1/2023
AAA118199,3,ppolo,dpar5700,10/1/2023
AAA118200,1,ot_white,,10/1/2023
AAA118200,2,ot_grey,,10/1/2023
AAA118201,1,ot_grey,,10/1/2023
AAA118202,1,pt_grey,,10/1/2023
