transaction_id,sale_id,line
AAA118146,1,Ocly
AAA118147,1,Verchecco
AAA118148,1,Verchecco
AAA118148,2,Verchecco
AAA118148,3,Piaris
AAA118149,1,Piaris
AAA118150,1,Piaris
AAA118150,2,Ocly
AAA118150,3,Ocly
AAA118151,1,Ocly
AAA118151,2,Piaris
AAA118151,3,Ocly
AAA118152,1,Piaris
AAA118153,1,Ocly
AAA118154,1,Piaris
AAA118155,1,Piaris
AAA118156,1,Ocly
AAA118157,1,Ocly
AAA118158,1,Verchecco
AAA118158,2,Piaris
AAA118158,3,Verchecco
AAA118158,4,Ocly
AAA118159,1,Ocly
AAA118160,1,Verchecco
AAA118161,1,Piaris
AAA118162,1,Ocly
AAA118162,2,Ocly
AAA118162,3,Ocly
AAA118163,1,Ocly
AAA118163,2,Ocly
AAA118163,3,Ocly
AAA118164,1,Ocly
AAA118164,2,Ocly
AAA118165,1,Piaris
AAA118166,1,Verchecco
AAA118166,2,Piaris
AAA118167,1,Ocly
AAA118168,1,Ocly
AAA118169,1,Ocly
AAA118169,2,Piaris
AAA118169,3,Ocly
AAA118170,1,Ocly
AAA118171,1,Ocly
AAA118172,1,Piaris
AAA118172,2,Ocly
AAA118172,3,Ocly
AAA118173,1,Verchecco
AAA118174,1,Piaris
AAA118174,2,Ocly
AAA118174,3,Verchecco
AAA118174,4,Ocly
AAA118175,1,Verchecco
AAA118175,2,Verchecco
AAA118175,3,Piaris
AAA118175,4,Piaris
AAA118175,5,Verchecco
AAA118176,1,Verchecco
AAA118176,2,Ocly
AAA118176,3,Piaris
AAA118177,1,Ocly
AAA118178,1,Piaris
AAA118179,1,Verchecco
AAA118180,1,Ocly
AAA118181,1,Verchecco
AAA118181,2,Piaris
AAA118181,3,Ocly
AAA118182,1,Verchecco
AAA118183,1,Piaris
AAA118184,1,Verchecco
AAA118185,1,Verchecco
AAA118186,1,Piaris
AAA118186,2,Verchecco
AAA118186,3,Ocly
AAA118187,1,Verchecco
AAA118187,2,Ocly
AAA118188,1,Verchecco
AAA118189,1,Ocly
AAA118190,1,Ocly
AAA118190,2,Piaris
AAA118190,3,Verchecco
AAA118191,1,Verchecco
AAA118192,1,Ocly
AAA118193,1,Verchecco
AAA118193,2,Piaris
AAA118193,3,Verchecco
AAA118193,4,Verchecco
AAA118193,5,Ocly
AAA118194,1,Verchecco
AAA118194,2,Ocly
AAA118195,1,Ocly
AAA118195,2,Ocly
AAA118196,1,Ocly
AAA118197,1,Ocly
AAA118198,1,Piaris
AAA118198,2,Piaris
AAA118198,3,Ocly
AAA118199,1,Ocly
AAA118199,2,Ocly
AAA118199,3,Piaris
AAA118200,1,Ocly
AAA118200,2,Ocly
AAA118201,1,Ocly
AAA118202,1,Piaris
AAA118202,2,Piaris
AAA118202,3,Piaris
AAA118203,1,Piaris
AAA118204,1,Ocly
AAA118205,1,Ocly
AAA118206,1,Ocly
AAA118207,1,Ocly
AAA118207,2,Ocly
AAA118207,3,Verchecco
AAA118208,1,Ocly
AAA118209,1,Ocly
AAA118209,2,Ocly
AAA118209,3,Verchecco
AAA118210,1,Piaris
AAA118211,1,Piaris
AAA118212,1,Piaris
AAA118213,1,Piaris
AAA118213,2,Piaris
AAA118214,1,Ocly
AAA118215,1,Ocly
AAA118215,2,Piaris
AAA118215,3,Piaris
AAA118216,1,Verchecco
AAA118216,2,Ocly
AAA118216,3,Verchecco
AAA118216,4,Ocly
AAA118216,5,Piaris
AAA118217,1,Ocly
AAA118218,1,Piaris
AAA118219,1,Ocly
AAA118219,2,Piaris
AAA118219,3,Verchecco
AAA118220,1,Verchecco
AAA118221,1,Verchecco
AAA118221,2,Piaris
AAA118221,3,Piaris
AAA118221,4,Verchecco
AAA118222,1,Verchecco
AAA118223,1,Verchecco
AAA118223,2,Piaris
AAA118223,3,Ocly
AAA118224,1,Piaris
AAA118225,1,Verchecco
AAA118226,1,Ocly
AAA118226,2,Ocly
AAA118227,1,Ocly
AAA118228,1,Ocly
AAA118229,1,Piaris
AAA118229,2,Ocly
AAA118229,3,Ocly
AAA118230,1,Ocly
AAA118230,2,Ocly
AAA118231,1,Verchecco
AAA118231,2,Ocly
AAA118231,3,Verchecco
AAA118232,1,Verchecco
AAA118233,1,Piaris
AAA118233,2,Piaris
AAA118233,3,Ocly
AAA118234,1,Verchecco
AAA118235,1,Verchecco
AAA118236,1,Ocly
AAA118236,2,Ocly
AAA118236,3,Piaris
AAA118237,1,Ocly
AAA118238,1,Verchecco
AAA118239,1,Ocly
AAA118240,1,Ocly
AAA118241,1,Verchecco
AAA118242,1,Ocly
AAA118242,2,Verchecco
AAA118242,3,Verchecco
AAA118242,4,Ocly
AAA118242,5,Verchecco
AAA118243,1,Ocly
AAA118244,1,Ocly
AAA118245,1,Verchecco
AAA118246,1,Verchecco
AAA118246,2,Verchecco
AAA118246,3,Verchecco
AAA118247,1,Verchecco
AAA118248,1,Ocly
AAA118249,1,Ocly
AAA118250,1,Ocly
AAA118250,2,Ocly
AAA118251,1,Verchecco
AAA118252,1,Piaris
AAA118252,2,Ocly
AAA118253,1,Ocly
AAA118254,1,Verchecco
AAA118255,1,Piaris
AAA118255,2,Verchecco
AAA118255,3,Verchecco
AAA118256,1,Piaris
AAA118256,2,Piaris
AAA118256,3,Piaris
AAA118257,1,Piaris
AAA118258,1,Verchecco
AAA118258,2,Ocly
AAA118258,3,Verchecco
AAA118259,1,Ocly
AAA118260,1,Ocly
AAA118261,1,Piaris
AAA118262,1,Ocly
AAA118263,1,Verchecco
AAA118264,1,Ocly
AAA118264,2,Ocly
