transaction_id,sale_id,product,member_id,date
AAA112923,1,ot_black,,2023-07-01
AAA112923,2,pt_white,,2023-07-01
AAA112923,3,ojean,,2023-07-01
AAA112924,1,vpolo,,2023-07-01
AAA112925,1,pt_grey,,2023-07-01
AAA112925,2,vt_grey,,2023-07-01
AAA112926,1,ot_grey,adav5604,2023-07-01
AAA112927,1,pjean,,2023-07-01
AAA112928,1,ot_white,mmil6054,2023-07-01
AAA112928,2,ph_white,mmil6054,2023-07-01
AAA112928,3,ppolo,mmil6054,2023-07-01
AAA112929,1,ot_white,cjen5822,2023-07-01
AAA112930,1,oh_white,mrob9443,2023-07-01
AAA112931,1,vpolo,lgon7340,2023-07-01
AAA112932,1,vjean,,2023-07-01
AAA112933,1,opolo,wros8412,2023-07-01
AAA112934,1,ot_grey,rall4836,2023-07-01
AAA112935,1,ot_grey,larn8682,2023-07-01
AAA112935,2,vt_grey,larn8682,2023-07-01
AAA112935,3,vt_white,larn8682,2023-07-01
AAA112936,1,vt_black,,2023-07-01
AAA112937,1,pt_white,,2023-07-01
AAA112937,2,vpolo,,2023-07-01
AAA112937,3,ot_black,,2023-07-01
AAA112938,1,vjean,kmcc5669,2023-07-01
AAA112939,1,pjean,,2023-07-01
AAA112939,2,ojean,,2023-07-01
AAA112939,3,vjean,,2023-07-01
AAA112940,1,opolo,alit4075,2023-07-01
AAA112940,2,ph_black,alit4075,2023-07-01
AAA112940,3,vjean,alit4075,2023-07-01
AAA112941,1,ot_grey,,2023-07-01
AAA112941,2,pt_white,,2023-07-01
AAA112941,3,vt_grey,,2023-07-01
AAA112942,1,vpolo,,2023-07-01
AAA112943,1,vh_black,towe1813,2023-07-01
AAA112944,1,vt_white,aeva8855,2023-07-01
AAA112944,2,ot_white,aeva8855,2023-07-01
AAA112944,3,ot_grey,aeva8855,2023-07-01
AAA112945,1,oh_black,msny3938,2023-07-01
AAA112946,1,opolo,jmay6193,2023-07-01
AAA112947,1,oh_white,,2023-07-01
AAA112948,1,ot_grey,tlop6584,2023-07-01
AAA112949,1,ot_white,,2023-07-01
AAA112950,1,vjean,,2023-07-01
AAA112951,1,oh_white,,2023-07-01
AAA112951,2,ot_white,,2023-07-01
AAA112952,1,ot_black,,2023-07-01
AAA112952,2,vpolo,,2023-07-01
AAA112952,3,vt_black,,2023-07-01
AAA112952,4,ppolo,,2023-07-01
AAA112953,1,ot_black,rhar7062,2023-07-01
AAA112954,1,ot_black,rlaw9185,2023-07-01
AAA112955,1,oh_black,agon9566,2023-07-01
AAA112956,1,vt_black,pcar8202,2023-07-01
AAA112956,2,pt_grey,pcar8202,2023-07-01
AAA112956,3,opolo,pcar8202,2023-07-01
AAA112957,1,ot_grey,,2023-07-01
AAA112958,1,ppolo,,2023-07-01
AAA112959,1,pt_white,,2023-07-01
AAA112960,1,ot_white,,2023-07-01
AAA112960,2,ot_white,,2023-07-01
AAA112960,3,ppolo,,2023-07-01
AAA112961,1,oh_black,,2023-07-01
AAA112962,1,opolo,,2023-07-01
AAA112963,1,pt_white,dper6810,2023-07-01
AAA112964,1,vt_black,,2023-07-01
AAA112965,1,oh_black,,2023-07-01
AAA112966,1,pt_black,mfra8709,2023-07-01
AAA112967,1,pt_white,drot6499,2023-07-01
AAA112968,1,ppolo,,2023-07-01
AAA112968,2,ot_black,,2023-07-01
AAA112968,3,vpolo,,2023-07-01
AAA112969,1,ot_grey,,2023-07-01
AAA112970,1,vt_white,,2023-07-01
AAA112971,1,opolo,apar6120,2023-07-01
AAA112972,1,pt_grey,,2023-07-01
AAA112973,1,opolo,cmar2757,2023-07-01
AAA112974,1,vh_black,,2023-07-01
AAA112975,1,opolo,,2023-07-01
AAA112975,2,ot_black,,2023-07-01
AAA112975,3,pjean,,2023-07-01
AAA112975,4,ot_grey,,2023-07-01
AAA112975,5,pt_white,,2023-07-01
AAA112976,1,vjean,,2023-07-01
AAA112977,1,vt_white,,2023-07-02
AAA112977,2,pjean,,2023-07-02
AAA112977,3,vt_white,,2023-07-02
AAA112978,1,ot_black,jmcd8333,2023-07-02
AAA112979,1,pjean,,2023-07-02
AAA112979,2,ot_grey,,2023-07-02
AAA112979,3,vt_black,,2023-07-02
AAA112980,1,vt_grey,,2023-07-02
