report_id,timestamp,error_type,severity,active_users
1001,2023-10-02 14:00:00,System Outage,low,28476
1002,2023-10-02 14:00:00,Data Loss,low,28476
1003,2023-10-02 14:00:00,Rendering,low,28476
1004,2023-10-02 14:00:00,Login,low,28476
1005,2023-10-02 14:00:00,Slow,low,28476
1006,2023-10-02 14:00:00,Slow,low,28476
1007,2023-10-02 14:00:00,UX,low,28476
1008,2023-10-02 15:00:00,Login,high,33006
1009,2023-10-02 15:00:00,Data Loss,high,33006
1010,2023-10-02 15:00:00,Login,high,33006
1011,2023-10-02 15:00:00,Frozen,high,33006
1012,2023-10-02 15:00:00,Data Loss,high,33006
1013,2023-10-02 15:00:00,Data Loss,high,33006
1014,2023-10-02 15:00:00,System Outage,high,33006
1015,2023-10-02 15:00:00,Data Loss,high,33006
1016,2023-10-02 15:00:00,Frozen,high,33006
1017,2023-10-02 15:00:00,Login,high,33006
1018,2023-10-02 15:00:00,System Outage,high,33006
1019,2023-10-02 15:00:00,Frozen,high,33006
1020,2023-10-02 15:00:00,Frozen,high,33006
1021,2023-10-02 15:00:00,Frozen,high,33006
1022,2023-10-02 15:00:00,System Outage,high,33006
1023,2023-10-02 15:00:00,Login,high,33006
1024,2023-10-02 15:00:00,Frozen,high,33006
1025,2023-10-02 15:00:00,Frozen,high,33006
1026,2023-10-02 15:00:00,Frozen,low,33006
1027,2023-10-02 15:00:00,Login,low,33006
1028,2023-10-02 15:00:00,Frozen,low,33006
1029,2023-10-02 15:00:00,Rendering,low,33006
1030,2023-10-02 15:00:00,Slow,low,33006
1031,2023-10-02 15:00:00,Slow,low,33006
1032,2023-10-02 15:00:00,Frozen,low,33006
1033,2023-10-02 15:00:00,Slow,low,33006
1034,2023-10-02 15:00:00,Slow,low,33006
1035,2023-10-02 15:00:00,Data Loss,low,33006
1036,2023-10-02 16:00:00,Slow,low,28295
1037,2023-10-02 16:00:00,Frozen,low,28295
1038,2023-10-02 16:00:00,Frozen,low,28295
1039,2023-10-02 16:00:00,Rendering,low,28295
1040,2023-10-02 16:00:00,Slow,low,28295
1041,2023-10-02 16:00:00,System Outage,low,28295
1042,2023-10-02 16:00:00,Data Loss,low,28295
1043,2023-10-02 18:00:00,UX,low,24861
1044,2023-10-02 18:00:00,Frozen,low,24861
1045,2023-10-02 18:00:00,Slow,low,24861
1046,2023-10-02 18:00:00,UX,low,24861
1047,2023-10-02 18:00:00,System Outage,low,24861
1048,2023-10-02 18:00:00,Login,low,24861
1049,2023-10-02 22:00:00,UX,low,24189
1050,2023-10-02 22:00:00,Slow,low,24189
1051,2023-10-02 22:00:00,Login,low,24189
1052,2023-10-02 22:00:00,Rendering,low,24189
1053,2023-10-02 22:00:00,Slow,low,24189
1054,2023-10-02 22:00:00,Rendering,low,24189
1055,2023-10-03 14:00:00,Frozen,low,27028
1056,2023-10-03 14:00:00,Login,low,27028
1057,2023-10-03 14:00:00,UX,low,27028
1058,2023-10-03 14:00:00,Login,low,27028
1059,2023-10-03 14:00:00,Rendering,low,27028
1060,2023-10-03 14:00:00,Frozen,low,27028
1061,2023-10-03 14:00:00,Login,low,27028
1062,2023-10-03 15:00:00,Data Loss,high,33195
1063,2023-10-03 15:00:00,System Outage,high,33195
1064,2023-10-03 15:00:00,System Outage,high,33195
1065,2023-10-03 15:00:00,System Outage,high,33195
1066,2023-10-03 15:00:00,Data Loss,high,33195
1067,2023-10-03 15:00:00,Frozen,high,33195
1068,2023-10-03 15:00:00,Slow,high,33195
1069,2023-10-03 15:00:00,Slow,high,33195
1070,2023-10-03 15:00:00,Slow,high,33195
1071,2023-10-03 15:00:00,System Outage,high,33195
1072,2023-10-03 15:00:00,Login,high,33195
1073,2023-10-03 15:00:00,Login,high,33195
1074,2023-10-03 15:00:00,System Outage,high,33195
1075,2023-10-03 15:00:00,System Outage,high,33195
1076,2023-10-03 15:00:00,Frozen,high,33195
1077,2023-10-03 15:00:00,Frozen,high,33195
1078,2023-10-03 15:00:00,Login,high,33195
1079,2023-10-03 15:00:00,Login,high,33195
1080,2023-10-03 15:00:00,Frozen,low,33195
1081,2023-10-03 15:00:00,Slow,low,33195
1082,2023-10-03 15:00:00,Rendering,low,33195
1083,2023-10-03 15:00:00,UX,low,33195
1084,2023-10-03 15:00:00,Frozen,low,33195
1085,2023-10-03 15:00:00,System Outage,low,33195
1086,2023-10-03 15:00:00,Frozen,low,33195
1087,2023-10-03 15:00:00,Slow,low,33195
1088,2023-10-03 15:00:00,Rendering,low,33195
1089,2023-10-03 15:00:00,System Outage,low,33195
1090,2023-10-03 16:00:00,Frozen,low,28252
1091,2023-10-03 16:00:00,Login,low,28252
1092,2023-10-03 16:00:00,Slow,low,28252
1093,2023-10-03 16:00:00,Frozen,low,28252
1094,2023-10-03 16:00:00,Slow,low,28252
1095,2023-10-03 16:00:00,Frozen,low,28252
1096,2023-10-03 16:00:00,UX,low,28252
1097,2023-10-03 17:00:00,Data Loss,low,20467
1098,2023-10-03 17:00:00,UX,low,20467
1099,2023-10-03 17:00:00,Frozen,low,20467
1100,2023-10-03 17:00:00,UX,low,20467
1101,2023-10-03 17:00:00,Slow,low,20467
1102,2023-10-03 18:00:00,Rendering,low,22768
1103,2023-10-03 18:00:00,Frozen,low,22768
1104,2023-10-03 18:00:00,Login,low,22768
1105,2023-10-03 18:00:00,Slow,low,22768
1106,2023-10-03 18:00:00,Login,low,22768
1107,2023-10-03 18:00:00,Frozen,low,22768
1108,2023-10-03 19:00:00,Slow,low,25330
1109,2023-10-03 19:00:00,Frozen,low,25330
1110,2023-10-03 19:00:00,Slow,low,25330
1111,2023-10-03 19:00:00,Frozen,low,25330
1112,2023-10-03 19:00:00,Slow,low,25330
1113,2023-10-03 19:00:00,Frozen,low,25330
1114,2023-10-03 20:00:00,Frozen,low,22967
1115,2023-10-03 20:00:00,Login,low,22967
1116,2023-10-03 20:00:00,Frozen,low,22967
1117,2023-10-03 20:00:00,System Outage,low,22967
1118,2023-10-03 20:00:00,UX,low,22967
1119,2023-10-03 20:00:00,Slow,low,22967
1120,2023-10-04 13:00:00,Slow,low,20345
1121,2023-10-04 13:00:00,UX,low,20345
1122,2023-10-04 13:00:00,UX,low,20345
1123,2023-10-04 13:00:00,Frozen,low,20345
1124,2023-10-04 13:00:00,UX,low,20345
1125,2023-10-04 14:00:00,Login,low,20016
1126,2023-10-04 14:00:00,Frozen,low,20016
1127,2023-10-04 14:00:00,Rendering,low,20016
1128,2023-10-04 14:00:00,Frozen,low,20016
1129,2023-10-04 14:00:00,Slow,low,20016
1130,2023-10-04 15:00:00,Slow,low,25947
1131,2023-10-04 15:00:00,UX,low,25947
1132,2023-10-04 15:00:00,Slow,low,25947
1133,2023-10-04 15:00:00,Slow,low,25947
1134,2023-10-04 15:00:00,Login,low,25947
1135,2023-10-04 15:00:00,Login,low,25947
1136,2023-10-04 18:00:00,UX,low,23462
1137,2023-10-04 18:00:00,Login,low,23462
1138,2023-10-04 18:00:00,Data Loss,low,23462
1139,2023-10-04 18:00:00,Slow,low,23462
1140,2023-10-04 18:00:00,Slow,low,23462
1141,2023-10-04 18:00:00,Slow,low,23462
1142,2023-10-05 14:00:00,Slow,low,26517
1143,2023-10-05 14:00:00,Login,low,26517
1144,2023-10-05 14:00:00,Rendering,low,26517
1145,2023-10-05 14:00:00,Rendering,low,26517
1146,2023-10-05 14:00:00,Frozen,low,26517
1147,2023-10-05 14:00:00,Slow,low,26517
1148,2023-10-05 14:00:00,Rendering,low,26517
1149,2023-10-05 15:00:00,Frozen,low,28442
1150,2023-10-05 15:00:00,UX,low,28442
1151,2023-10-05 15:00:00,Slow,low,28442
1152,2023-10-05 15:00:00,Data Loss,low,28442
1153,2023-10-05 15:00:00,Slow,low,28442
1154,2023-10-05 15:00:00,Frozen,low,28442
1155,2023-10-05 15:00:00,Rendering,low,28442
1156,2023-10-05 18:00:00,UX,low,22106
1157,2023-10-05 18:00:00,Frozen,low,22106
1158,2023-10-05 18:00:00,Frozen,low,22106
1159,2023-10-05 18:00:00,Frozen,low,22106
1160,2023-10-05 18:00:00,Slow,low,22106
1161,2023-10-05 18:00:00,UX,low,22106
1162,2023-10-05 19:00:00,Data Loss,low,23538
1163,2023-10-05 19:00:00,Slow,low,23538
1164,2023-10-05 19:00:00,Frozen,low,23538
1165,2023-10-05 19:00:00,Data Loss,low,23538
1166,2023-10-05 19:00:00,Login,low,23538
1167,2023-10-05 19:00:00,Slow,low,23538
1168,2023-10-05 21:00:00,Frozen,low,22309
1169,2023-10-05 21:00:00,Frozen,low,22309
1170,2023-10-05 21:00:00,Slow,low,22309
1171,2023-10-05 21:00:00,Rendering,low,22309
1172,2023-10-05 21:00:00,Login,low,22309
1173,2023-10-05 21:00:00,Frozen,low,22309
1174,2023-10-05 22:00:00,Data Loss,low,22522
1175,2023-10-05 22:00:00,Frozen,low,22522
1176,2023-10-05 22:00:00,Frozen,low,22522
1177,2023-10-05 22:00:00,Slow,low,22522
1178,2023-10-05 22:00:00,Slow,low,22522
1179,2023-10-05 22:00:00,Slow,low,22522
1180,2023-10-06 13:00:00,Slow,low,25906
1181,2023-10-06 13:00:00,Slow,low,25906
1182,2023-10-06 13:00:00,Frozen,low,25906
1183,2023-10-06 13:00:00,Login,low,25906
1184,2023-10-06 13:00:00,Slow,low,25906
1185,2023-10-06 13:00:00,System Outage,low,25906
1186,2023-10-06 14:00:00,Frozen,low,25768
1187,2023-10-06 14:00:00,UX,low,25768
1188,2023-10-06 14:00:00,Data Loss,low,25768
1189,2023-10-06 14:00:00,Slow,low,25768
1190,2023-10-06 14:00:00,Frozen,low,25768
1191,2023-10-06 14:00:00,Slow,low,25768
1192,2023-10-06 15:00:00,Login,low,26409
1193,2023-10-06 15:00:00,Slow,low,26409
1194,2023-10-06 15:00:00,Slow,low,26409
1195,2023-10-06 15:00:00,Slow,low,26409
1196,2023-10-06 15:00:00,Login,low,26409
1197,2023-10-06 15:00:00,Data Loss,low,26409
1198,2023-10-06 15:00:00,UX,low,26409
1199,2023-10-06 16:00:00,Login,low,28262
1200,2023-10-06 16:00:00,Login,low,28262
1201,2023-10-06 16:00:00,Slow,low,28262
1202,2023-10-06 16:00:00,Frozen,low,28262
1203,2023-10-06 16:00:00,Slow,low,28262
1204,2023-10-06 16:00:00,Slow,low,28262
1205,2023-10-06 16:00:00,Login,low,28262
1206,2023-10-06 18:00:00,Login,low,20070
1207,2023-10-06 18:00:00,Slow,low,20070
1208,2023-10-06 18:00:00,Frozen,low,20070
1209,2023-10-06 18:00:00,Rendering,low,20070
1210,2023-10-06 18:00:00,Frozen,low,20070
1211,2023-10-06 20:00:00,UX,low,21675
1212,2023-10-06 20:00:00,Data Loss,low,21675
1213,2023-10-06 20:00:00,Slow,low,21675
1214,2023-10-06 20:00:00,System Outage,low,21675
1215,2023-10-06 20:00:00,Slow,low,21675
1216,2023-10-09 15:00:00,System Outage,high,33839
1217,2023-10-09 15:00:00,Login,high,33839
1218,2023-10-09 15:00:00,Login,high,33839
1219,2023-10-09 15:00:00,Frozen,high,33839
1220,2023-10-09 15:00:00,Frozen,high,33839
1221,2023-10-09 15:00:00,Login,high,33839
1222,2023-10-09 15:00:00,Login,high,33839
1223,2023-10-09 15:00:00,System Outage,high,33839
1224,2023-10-09 15:00:00,Frozen,high,33839
1225,2023-10-09 15:00:00,Slow,high,33839
1226,2023-10-09 15:00:00,Frozen,high,33839
1227,2023-10-09 15:00:00,Slow,high,33839
1228,2023-10-09 15:00:00,Slow,high,33839
1229,2023-10-09 15:00:00,Data Loss,high,33839
1230,2023-10-09 15:00:00,Frozen,high,33839
1231,2023-10-09 15:00:00,Frozen,high,33839
1232,2023-10-09 15:00:00,Slow,high,33839
1233,2023-10-09 15:00:00,Login,high,33839
1234,2023-10-09 15:00:00,Frozen,high,33839
1235,2023-10-09 15:00:00,Frozen,low,33839
1236,2023-10-09 15:00:00,Frozen,low,33839
1237,2023-10-09 15:00:00,Slow,low,33839
1238,2023-10-09 15:00:00,System Outage,low,33839
1239,2023-10-09 15:00:00,Frozen,low,33839
1240,2023-10-09 15:00:00,Frozen,low,33839
1241,2023-10-09 15:00:00,Frozen,low,33839
1242,2023-10-09 15:00:00,System Outage,low,33839
1243,2023-10-09 15:00:00,Slow,low,33839
1244,2023-10-09 15:00:00,Slow,low,33839
1245,2023-10-09 16:00:00,Frozen,low,25800
1246,2023-10-09 16:00:00,UX,low,25800
1247,2023-10-09 16:00:00,Frozen,low,25800
1248,2023-10-09 16:00:00,UX,low,25800
1249,2023-10-09 16:00:00,Slow,low,25800
1250,2023-10-09 16:00:00,Slow,low,25800
1251,2023-10-09 18:00:00,Frozen,low,23914
1252,2023-10-09 18:00:00,UX,low,23914
1253,2023-10-09 18:00:00,Login,low,23914
1254,2023-10-09 18:00:00,Login,low,23914
1255,2023-10-09 18:00:00,Frozen,low,23914
1256,2023-10-09 18:00:00,Frozen,low,23914
1257,2023-10-09 19:00:00,Frozen,low,22703
1258,2023-10-09 19:00:00,Slow,low,22703
1259,2023-10-09 19:00:00,Data Loss,low,22703
1260,2023-10-09 19:00:00,Slow,low,22703
1261,2023-10-09 19:00:00,System Outage,low,22703
1262,2023-10-09 19:00:00,Rendering,low,22703
1263,2023-10-09 20:00:00,Slow,low,25611
1264,2023-10-09 20:00:00,Slow,low,25611
1265,2023-10-09 20:00:00,Slow,low,25611
1266,2023-10-09 20:00:00,UX,low,25611
1267,2023-10-09 20:00:00,Frozen,low,25611
1268,2023-10-09 20:00:00,Slow,low,25611
1269,2023-10-10 13:00:00,Slow,low,26572
1270,2023-10-10 13:00:00,Login,low,26572
1271,2023-10-10 13:00:00,System Outage,low,26572
1272,2023-10-10 13:00:00,Slow,low,26572
1273,2023-10-10 13:00:00,UX,low,26572
1274,2023-10-10 13:00:00,Slow,low,26572
1275,2023-10-10 13:00:00,Slow,low,26572
1276,2023-10-10 14:00:00,UX,low,26191
1277,2023-10-10 14:00:00,Login,low,26191
1278,2023-10-10 14:00:00,UX,low,26191
1279,2023-10-10 14:00:00,Rendering,low,26191
1280,2023-10-10 14:00:00,UX,low,26191
1281,2023-10-10 14:00:00,Slow,low,26191
1282,2023-10-10 14:00:00,Rendering,low,26191
1283,2023-10-10 15:00:00,System Outage,high,33181
1284,2023-10-10 15:00:00,System Outage,high,33181
1285,2023-10-10 15:00:00,Slow,high,33181
1286,2023-10-10 15:00:00,Login,high,33181
1287,2023-10-10 15:00:00,Frozen,high,33181
1288,2023-10-10 15:00:00,Frozen,high,33181
1289,2023-10-10 15:00:00,Login,high,33181
1290,2023-10-10 15:00:00,Login,high,33181
1291,2023-10-10 15:00:00,Login,high,33181
1292,2023-10-10 15:00:00,System Outage,high,33181
1293,2023-10-10 15:00:00,Slow,high,33181
1294,2023-10-10 15:00:00,Frozen,high,33181
1295,2023-10-10 15:00:00,Login,high,33181
1296,2023-10-10 15:00:00,System Outage,high,33181
1297,2023-10-10 15:00:00,Login,high,33181
1298,2023-10-10 15:00:00,Data Loss,high,33181
1299,2023-10-10 15:00:00,System Outage,high,33181
1300,2023-10-10 15:00:00,Slow,high,33181
1301,2023-10-10 15:00:00,Frozen,low,33181
1302,2023-10-10 15:00:00,Login,low,33181
1303,2023-10-10 15:00:00,System Outage,low,33181
1304,2023-10-10 15:00:00,Login,low,33181
1305,2023-10-10 15:00:00,Frozen,low,33181
1306,2023-10-10 15:00:00,Login,low,33181
1307,2023-10-10 15:00:00,UX,low,33181
1308,2023-10-10 15:00:00,Login,low,33181
1309,2023-10-10 15:00:00,UX,low,33181
1310,2023-10-10 15:00:00,UX,low,33181
1311,2023-10-10 16:00:00,UX,low,26653
1312,2023-10-10 16:00:00,Data Loss,low,26653
1313,2023-10-10 16:00:00,Slow,low,26653
1314,2023-10-10 16:00:00,Frozen,low,26653
1315,2023-10-10 16:00:00,Login,low,26653
1316,2023-10-10 16:00:00,Slow,low,26653
1317,2023-10-10 16:00:00,Slow,low,26653
1318,2023-10-10 18:00:00,Frozen,low,23014
1319,2023-10-10 18:00:00,Rendering,low,23014
1320,2023-10-10 18:00:00,Frozen,low,23014
1321,2023-10-10 18:00:00,UX,low,23014
1322,2023-10-10 18:00:00,Slow,low,23014
1323,2023-10-10 18:00:00,Data Loss,low,23014
1324,2023-10-10 19:00:00,Slow,low,21323
1325,2023-10-10 19:00:00,Frozen,low,21323
1326,2023-10-10 19:00:00,System Outage,low,21323
1327,2023-10-10 19:00:00,Rendering,low,21323
1328,2023-10-10 19:00:00,Slow,low,21323
1329,2023-10-10 20:00:00,Slow,low,23271
1330,2023-10-10 20:00:00,Slow,low,23271
1331,2023-10-10 20:00:00,Slow,low,23271
1332,2023-10-10 20:00:00,UX,low,23271
1333,2023-10-10 20:00:00,Slow,low,23271
1334,2023-10-10 20:00:00,System Outage,low,23271
1335,2023-10-10 21:00:00,Slow,low,21471
1336,2023-10-10 21:00:00,Rendering,low,21471
1337,2023-10-10 21:00:00,UX,low,21471
1338,2023-10-10 21:00:00,Login,low,21471
1339,2023-10-10 21:00:00,Slow,low,21471
1340,2023-10-10 22:00:00,Slow,low,23075
1341,2023-10-10 22:00:00,Data Loss,low,23075
1342,2023-10-10 22:00:00,UX,low,23075
1343,2023-10-10 22:00:00,Slow,low,23075
1344,2023-10-10 22:00:00,System Outage,low,23075
1345,2023-10-10 22:00:00,Slow,low,23075
1346,2023-10-11 14:00:00,Slow,low,20007
1347,2023-10-11 14:00:00,Data Loss,low,20007
1348,2023-10-11 14:00:00,Login,low,20007
1349,2023-10-11 14:00:00,Frozen,low,20007
1350,2023-10-11 14:00:00,Frozen,low,20007
1351,2023-10-11 15:00:00,Login,low,25924
1352,2023-10-11 15:00:00,Frozen,low,25924
1353,2023-10-11 15:00:00,UX,low,25924
1354,2023-10-11 15:00:00,Slow,low,25924
1355,2023-10-11 15:00:00,Slow,low,25924
