location,X_coord,Y_coord,start_time,end_time
"('Isle Of Dogs, London', 'River Thames')",538400,179700,1/4/2022 0:00,2/4/2022 0:00
"('Wandle Valley', 'River Thames')",525940,175450,6/4/2022 13:04,7/4/2022 0:00
"('Wandle Valley', 'River Thames')",525940,175450,7/4/2022 0:00,7/4/2022 18:18
"('Hampstead Norreys', 'River Pang')",453200,175730,30/04/2022 09:15,30/04/2022 09:45
"('South Ealing Road, W5', 'River Brent')",518000,179000,11/5/2022 9:26,11/5/2022 9:34
"('Basingstoke', 'Tributary of River Loddon')",467800,155250,15/06/2022 13:30,15/06/2022 14:00
"('Farnborough (Warks)', 'Tributary of Hanwell Brook')",442810,249460,18/06/2022 21:15,19/06/2022 00:00
"('Farnborough (Warks)', 'Tributary of Hanwell Brook')",442810,249460,19/06/2022 00:00,19/06/2022 00:15
"('Stanton St John', 'Moorbridge Brook')",458600,209700,21/06/2022 01:45,21/06/2022 10:15
"('Colgate', 'Ifield Brook')",523160,133070,17/07/2022 11:45,17/07/2022 12:45
"('Priory Road, Dartford (Foul)', 'River Darent')",553900,174600,12/8/2022 19:45,12/8/2022 20:30
"('Kendal Road, Cullingworth Road', 'Mitchell Brook')",521790,185590,17/08/2022 14:30,17/08/2022 15:00
"('Elmcroft Avenue, Wanstead', 'River Roding')",541400,189300,17/08/2022 15:15,17/08/2022 16:45
"('Arford', 'River Wey')",482730,136880,17/08/2022 15:15,17/08/2022 16:15
"('Kings Avenue', 'River Roding')",541920,192190,17/08/2022 15:30,17/08/2022 17:15
"('The Broadway (Ray Park 2)', 'River Roding')",541530,191020,17/08/2022 15:30,17/08/2022 17:45
"('Gordon Road', 'River Roding')",543570,185480,17/08/2022 15:30,17/08/2022 16:00
"('Westway Close', 'Old Pyl Ditch')",522800,168700,22/08/2022 16:15,22/08/2022 17:00
"('Wealdbridge, North Weald', 'Cripsey Brook')",551000,206400,25/08/2022 05:30,25/08/2022 12:00
"('Road A3, Roehampton Vale', 'Beverley Brook')",521470,172330,25/08/2022 10:00,25/08/2022 10:30
"('East Garston', 'River Lambourn')",436700,176400,29/08/2022 07:54,29/08/2022 07:58
"('Hannington', 'Bydemill Ditch')",417720,193470,5/9/2022 20:15,5/9/2022 20:45
"('Stanford-In-The-Vale', 'River Ock')",434420,192910,5/9/2022 21:15,5/9/2022 22:30
"('South Moreton', 'Mill Brook')",456500,188300,5/9/2022 22:00,5/9/2022 22:45
"('Trumpers Way, W7', 'River Brent')",515000,179000,7/9/2022 21:36,7/9/2022 23:36
"('(Northern) Low Level No 1 Brook Green', 'River Thames')",523040,178150,13/09/2022 16:08,13/09/2022 16:18
"('Western Way', 'Dollis Brook')",525360,195080,21/09/2022 04:45,21/09/2022 05:15
"('Benson', 'Howbery Ditch')",462020,190510,21/09/2022 12:40,21/09/2022 12:44
"('Chinnor', 'Henton Stream')",476020,203240,23/09/2022 10:45,23/09/2022 19:45
"('Compton (Berks)', 'River Pang')",452600,179000,11/10/2022 3:00,11/10/2022 3:30
"('Commonside', 'Bookham Brook')",513300,156200,16/10/2022 07:15,16/10/2022 07:45
"('Burford', 'River Windrush')",425650,212270,21/10/2022 15:30,21/10/2022 18:00
"('Blunsdon', 'Tributary of Share Ditch')",415130,191680,21/10/2022 15:30,21/10/2022 16:30
"('Lechlade', 'River Leach')",422700,199330,21/10/2022 18:30,21/10/2022 20:00
"('Stonebridge SSO, Brockham', 'River Mole')",519170,149640,23/10/2022 10:00,23/10/2022 10:30
"('New Bedford Road, Luton', 'River Lee')",508860,221690,23/10/2022 10:15,23/10/2022 11:00
"('Clifton', 'Clifton Brook')",449110,231550,23/10/2022 17:15,23/10/2022 18:15
"('Ratley', 'Tributary of Sor Brook')",438430,247030,23/10/2022 18:00,23/10/2022 19:15
"('Hornton', 'Hornton Stream')",439690,244760,23/10/2022 19:15,23/10/2022 22:15
"('St Jamess Road', 'River Hogsmill')",518010,168960,23/10/2022 22:36,23/10/2022 23:14
"('Sonning Common', 'Groundwater')",471700,179400,24/10/2022 01:30,24/10/2022 02:00
"('Marsh Lane Bridge, Taplow', 'Boveney Ditch')",491800,179900,27/10/2022 00:00,27/10/2022 02:00
"('Friday Street, Henley', 'River Thames')",476300,182700,1/11/2022 9:08,1/11/2022 9:30
"('London Bridge', 'River Thames')",532860,180600,2/11/2022 16:42,3/11/2022 0:00
"('Swains Road', 'Silchester Brook')",459900,161500,2/11/2022 20:45,2/11/2022 21:45
"('River Lane', 'River Mole')",514700,157100,3/11/2022 6:15,3/11/2022 8:30
"('Field End Rd Storm (Harrow)', 'Yeading Brook East')",512350,185740,3/11/2022 6:45,3/11/2022 10:15
"('Queen Street', 'River Thames')",527570,177670,6/11/2022 8:26,6/11/2022 8:42
"('Mapleton Road', 'River Wandle')",525650,174320,6/11/2022 8:30,6/11/2022 9:00
"('Church Hill Road, Barnet', 'Tributary of Pymmes Brook')",527300,195230,6/11/2022 8:45,6/11/2022 9:15
"('Cage End, Essex', 'Mus Brook')",554620,216320,6/11/2022 9:15,6/11/2022 14:00
"('Pinkham Way Storm Sewage O/F, London', 'Bounds Green Brook')",528670,191680,6/11/2022 9:15,6/11/2022 10:45
"('Stonebridge Brook', 'Stonebridge Brook')",534470,188700,6/11/2022 9:15,6/11/2022 12:00
"('Takeley - Garnetts', 'Wayletts Ditch')",555800,221600,6/11/2022 9:30,6/11/2022 17:00
"('Bentsbrook Road', 'Bents Brook')",517000,147400,6/11/2022 9:45,6/11/2022 10:15
"('Lower Cherwell St, Banbury', 'River Cherwell')",446100,240190,8/11/2022 11:54,8/11/2022 12:04
"('Avon Dassett', 'Hanwell Brook')",440500,249300,14/11/2022 03:30,14/11/2022 04:00
"('Culworth', 'Tributary of Culworth Brook')",454510,246630,15/11/2022 12:45,15/11/2022 13:15
"('Woking', 'Guiness Ditch')",503270,157520,16/11/2022 19:15,16/11/2022 19:45
"('Ockley Road', ""Cobbler's Brook"")",509500,140200,16/11/2022 20:00,17/11/2022 00:00
"('Ockley Road', ""Cobbler's Brook"")",509500,140200,17/11/2022 00:00,17/11/2022 01:30
"('Brockham Bridge', 'River Mole')",519600,149600,16/11/2022 20:30,17/11/2022 00:00
"('Brockham Bridge', 'River Mole')",519600,149600,17/11/2022 00:00,17/11/2022 22:15
"('Outside 115 Wentworth Road', 'Decoy Brook')",524650,188130,16/11/2022 21:15,16/11/2022 22:00
"('St Andrews Road, Black Horse Lane', 'Dagenham Brook')",535800,190000,16/11/2022 21:15,16/11/2022 21:45
"('Taylors Crescent, Cranleigh', 'Cranleigh Waters')",506720,139110,16/11/2022 21:15,17/11/2022 00:00
"('Taylors Crescent, Cranleigh', 'Cranleigh Waters')",506720,139110,17/11/2022 00:00,17/11/2022 00:45
"('Codicote', 'Groundwater')",522000,218000,16/11/2022 21:30,16/11/2022 23:00
"('Essendon, Holywell Bridge', 'River Lea')",527600,209700,16/11/2022 22:15,17/11/2022 00:00
"('Harpenden', 'River Lee')",515100,214710,16/11/2022 22:45,17/11/2022 00:00
"('Harpenden', 'River Lee')",515100,214710,17/11/2022 00:00,17/11/2022 05:00
"('West End, Essendon', 'Wood Hill Brook')",526800,208600,16/11/2022 23:15,17/11/2022 00:00
"('West End, Essendon', 'Wood Hill Brook')",526800,208600,17/11/2022 00:00,17/11/2022 00:30
"('Whitwell', 'River Mimram')",519160,220740,17/11/2022 00:00,17/11/2022 01:15
"('Luton', 'River Lee')",512020,218140,17/11/2022 00:30,17/11/2022 01:00
"('Appleton', 'Marcham Brook')",443680,199790,17/11/2022 03:45,17/11/2022 04:15
"('Dean Oak Lane', 'Deanoak Brook')",523800,145300,17/11/2022 05:30,17/11/2022 06:00
"('Thame', 'Lashlake Stream')",471150,206830,17/11/2022 07:45,17/11/2022 16:00
"('Kingston Bagpuize', 'Bagpuize Brook')",440350,197530,17/11/2022 08:15,17/11/2022 08:45
"('Markyate', 'River Ver')",507490,215410,17/11/2022 08:30,17/11/2022 10:00
"('Chesham', 'River Chess')",497910,199610,17/11/2022 08:45,17/11/2022 09:30
"('Berkhamsted', 'Grand Union Canal')",501300,206810,17/11/2022 09:15,17/11/2022 10:30
"('Mill Green (Hatfield)', 'River Lee')",524750,209920,17/11/2022 10:00,17/11/2022 13:30
"('Aylesbury', 'River Thame')",478620,214740,17/11/2022 10:30,17/11/2022 13:45
"('Watlington', 'Pyrton Stream')",467400,195400,17/11/2022 14:30,17/11/2022 19:30
"('Guildford', 'River Wey')",500400,151850,18/11/2022 13:36,18/11/2022 14:56
"('Church Street Sewer', 'River Thames')",527110,177550,20/11/2022 07:30,20/11/2022 07:40
"('Sloane Street, Raneleigh Gardens', 'River Thames')",528290,177850,22/11/2022 13:04,22/11/2022 13:24
"('Charlbury', 'River Evenlode')",435300,219180,23/11/2022 08:30,23/11/2022 09:15
"('Vauxhall Motors', 'Feeder to River Lee')",509910,220730,23/11/2022 09:45,23/11/2022 10:30
"('Slough', 'Roundmoor Ditch')",494370,179250,23/11/2022 09:45,23/11/2022 14:15
"('Greatworth', 'Tributary of Farthinghoe Stream')",454940,242120,23/11/2022 20:15,23/11/2022 21:15
"('Aston Le Walls', 'Tributary of Highfurlong Brook')",449400,251000,23/11/2022 20:45,23/11/2022 21:15
"('Hook Norton', 'Hook Norton Brook')",436900,233450,23/11/2022 21:00,23/11/2022 21:45
"('Moreton Pinkney', 'Ashby Brook')",457380,249730,23/11/2022 22:15,24/11/2022 00:00
"('Moreton Pinkney', 'Ashby Brook')",457380,249730,24/11/2022 00:00,24/11/2022 00:15
"('Oxford', 'Pottery Stream')",454200,202200,24/11/2022 11:45,25/11/2022 00:00
"('Oxford', 'Pottery Stream')",454200,202200,25/11/2022 00:00,25/11/2022 07:45
"('Moreton-In-Marsh', 'River Evenlode')",420810,232340,24/11/2022 15:00,25/11/2022 00:00
"('Moreton-In-Marsh', 'River Evenlode')",420810,232340,25/11/2022 00:00,25/11/2022 13:45
"('Heyford', 'River Cherwell')",449280,225430,24/11/2022 15:15,24/11/2022 17:45
"('Kings Sutton', 'Kings Sutton Stream')",450250,235620,24/11/2022 15:30,24/11/2022 16:30
"('Middle Barton', 'River Dorn')",444730,225410,24/11/2022 16:00,24/11/2022 17:30
"('Nightingale Lane', 'River Thames')",534170,180200,28/11/2022 13:00,28/11/2022 15:36
"('Petersham Road', 'River Thames')",517880,174370,28/11/2022 17:00,28/11/2022 18:15
"('Dartford Creek Storm', 'Darent / Dartford Creek')",553700,175500,5/12/2022 0:00,6/12/2022 0:00
"('Dartford Creek Storm', 'Darent / Dartford Creek')",553700,175500,6/12/2022 0:00,6/12/2022 3:00
"('Midgham', 'Kennet & Avon Canal')",455670,167400,8/12/2022 23:00,8/12/2022 23:30
