,Date,Visitors
0,2023-01-01,12009
1,2023-01-02,11985
2,2023-01-03,11979
3,2023-01-04,11988
4,2023-01-05,11996
5,2023-01-06,12009
6,2023-01-07,12004
7,2023-01-08,11992
8,2023-01-09,12013
9,2023-01-10,11980
10,2023-01-11,11967
11,2023-01-12,12007
12,2023-01-13,11986
13,2023-01-14,11992
14,2023-01-15,11976
15,2023-01-16,11970
16,2023-01-17,11989
17,2023-01-18,11974
18,2023-01-19,11969
19,2023-01-20,11962
20,2023-01-21,11950
21,2023-01-22,11978
22,2023-01-23,11991
23,2023-01-24,12009
24,2023-01-25,12002
25,2023-01-26,12003
26,2023-01-27,12009
27,2023-01-28,12022
28,2023-01-29,12031
29,2023-01-30,12034
30,2023-01-31,12046
31,2023-02-01,12049
32,2023-02-02,12057
33,2023-02-03,12057
34,2023-02-04,12096
35,2023-02-05,12064
36,2023-02-06,12074
37,2023-02-07,12057
38,2023-02-08,12060
39,2023-02-09,12063
40,2023-02-10,12052
41,2023-02-11,12056
42,2023-02-12,12087
43,2023-02-13,12056
44,2023-02-14,12084
45,2023-02-15,12045
46,2023-02-16,12097
47,2023-02-17,12113
48,2023-02-18,12127
49,2023-02-19,12094
50,2023-02-20,12091
51,2023-02-21,12096
52,2023-02-22,12114
53,2023-02-23,12100
54,2023-02-24,12133
55,2023-02-25,12122
56,2023-02-26,12122
57,2023-02-27,12119
58,2023-02-28,12116
59,2023-03-01,12138
60,2023-03-02,12159
61,2023-03-03,12142
62,2023-03-04,12133
63,2023-03-05,12140
64,2023-03-06,12151
65,2023-03-07,12155
66,2023-03-08,12140
67,2023-03-09,12166
68,2023-03-10,12166
69,2023-03-11,12156
70,2023-03-12,12140
71,2023-03-13,12152
72,2023-03-14,12155
73,2023-03-15,12175
74,2023-03-16,12211
75,2023-03-17,12194
76,2023-03-18,12195
77,2023-03-19,12194
78,2023-03-20,12180
79,2023-03-21,12168
80,2023-03-22,12156
81,2023-03-23,12163
82,2023-03-24,12156
83,2023-03-25,12146
84,2023-03-26,12153
85,2023-03-27,12149
86,2023-03-28,12112
87,2023-03-29,12105
88,2023-03-30,12105
89,2023-03-31,12122
90,2023-04-01,12147
