,Date,Sales
0,2021-01-01,1999956.6758653463
1,2021-01-02,1999852.317523932
2,2021-01-03,2000086.98971879
3,2021-01-04,1999961.5874550606
4,2021-01-05,1999980.0149116882
5,2021-01-06,1999804.088898467
6,2021-01-07,2000349.341834394
7,2021-01-08,2000171.1994012946
8,2021-01-09,2000182.4805882245
9,2021-01-10,2000373.547340032
10,2021-01-11,2000188.6076349327
11,2021-01-12,2000210.0395972854
12,2021-01-13,2000067.8038645864
13,2021-01-14,2000231.0360271959
14,2021-01-15,2000882.0525155626
15,2021-01-16,2000651.3632630496
16,2021-01-17,2000574.4167802308
17,2021-01-18,2000620.1934004503
18,2021-01-19,2000488.5391548935
19,2021-01-20,2000445.363747754
20,2021-01-21,2000661.4615354673
21,2021-01-22,2000280.5620969005
22,2021-01-23,2000993.2782658031
23,2021-01-24,2001101.7372846794
24,2021-01-25,2000680.7679468011
25,2021-01-26,2000602.1164820178
26,2021-01-27,2000845.7203238509
27,2021-01-28,2000770.4312524034
28,2021-01-29,2000786.9935734002
29,2021-01-30,2000844.6138720757
30,2021-01-31,2001140.1780388495
31,2021-02-01,2000040.7513639487
32,2021-02-02,2000396.0708553654
33,2021-02-03,2001025.1197734673
34,2021-02-04,2001392.156868574
35,2021-02-05,2001160.646707053
36,2021-02-06,2001058.0822594461
37,2021-02-07,2001375.441871307
38,2021-02-08,1999963.4862121851
39,2021-02-09,2000624.8084059362
40,2021-02-10,2000835.7838544962
41,2021-02-11,2000674.58839095
42,2021-02-12,2000903.7422207913
43,2021-02-13,2000886.1389653645
44,2021-02-14,2000152.9588606074
45,2021-02-15,2000652.4926174285
46,2021-02-16,2000524.8739274978
47,2021-02-17,2000618.8262296629
48,2021-02-18,2000640.2827709322
49,2021-02-19,2000193.1143174649
50,2021-02-20,2000489.123603537
51,2021-02-21,2000497.6846577274
52,2021-02-22,2000678.405951037
53,2021-02-23,2000458.8756690046
54,2021-02-24,2002309.304759237
55,2021-02-25,2000586.435308714
56,2021-02-26,2001619.491324651
57,2021-02-27,2000918.5357659247
58,2021-02-28,2000495.6557703442
59,2021-03-01,2000362.440262542
60,2021-03-02,2001115.4423973036
61,2021-03-03,2001076.9751470578
62,2021-03-04,2000594.59753576
63,2021-03-05,2000231.054510826
64,2021-03-06,2001066.8591760693
65,2021-03-07,2000290.2055197721
66,2021-03-08,2000292.9789788302
67,2021-03-09,2000398.953686544
68,2021-03-10,2000198.4189286947
69,2021-03-11,2000160.8749496283
70,2021-03-12,2000964.8257980281
71,2021-03-13,2000299.3792229763
72,2021-03-14,2000103.7191177527
73,2021-03-15,2000171.9214695634
74,2021-03-16,2000029.8398099688
75,2021-03-17,2000919.6415371515
76,2021-03-18,2000539.8901397923
77,2021-03-19,1999727.8802292007
78,2021-03-20,2000629.5014473863
79,2021-03-21,1999890.1398443473
80,2021-03-22,2000478.3687032529
81,2021-03-23,2000603.047333832
82,2021-03-24,2000831.9898058618
83,2021-03-25,2000109.4816806575
84,2021-03-26,2000205.8905335853
85,2021-03-27,2000989.720730588
86,2021-03-28,1999696.3228177088
87,2021-03-29,2000385.684175591
88,2021-03-30,2000023.4678497952
89,2021-03-31,1999796.1341960474
90,2021-04-01,1999764.9756355898
91,2021-04-02,1999821.635433824
92,2021-04-03,2000743.6592236445
93,2021-04-04,1999905.4577109714
94,2021-04-05,2000135.4629027406
95,2021-04-06,2000383.4735528037
96,2021-04-07,1999831.1423007366
97,2021-04-08,1999700.9634863671
98,2021-04-09,2000278.226165442
99,2021-04-10,1999702.0649249512
100,2021-04-11,2000099.7977812388
101,2021-04-12,2000731.154599737
102,2021-04-13,2000441.4643578983
103,2021-04-14,2000193.4851705653
104,2021-04-15,1999628.8196522435
105,2021-04-16,2000394.434820027
106,2021-04-17,1999742.1656356466
107,2021-04-18,2001049.7005866554
108,2021-04-19,1999879.2962155212
109,2021-04-20,2000499.231359978
110,2021-04-21,2000337.9514970577
111,2021-04-22,2000777.9263135334
112,2021-04-23,2000062.4252172012
113,2021-04-24,1999782.2488353176
114,2021-04-25,2000775.6875360752
115,2021-04-26,2000166.7135335905
116,2021-04-27,2000175.4459838234
117,2021-04-28,2000231.8864864248
118,2021-04-29,2000146.4622470888
119,2021-04-30,2000026.043281696
120,2021-05-01,1999886.0414089095
121,2021-05-02,2000084.2768074786
122,2021-05-03,2000464.5623536631
123,2021-05-04,2000050.165488539
124,2021-05-05,2000400.9057397502
125,2021-05-06,2000267.8795819662
126,2021-05-07,1999424.105244799
127,2021-05-08,1999156.219872283
128,2021-05-09,1999128.8641011645
129,2021-05-10,2000260.8354565005
130,2021-05-11,1999014.2907247266
131,2021-05-12,1998618.8880817355
132,2021-05-13,1999824.0086010501
133,2021-05-14,1999522.638846472
134,2021-05-15,1999925.4987454477
135,2021-05-16,1999938.651604434
136,2021-05-17,1998625.079667692
137,2021-05-18,1998723.5194834322
138,2021-05-19,1999511.5509698328
139,2021-05-20,1999907.7553425916
140,2021-05-21,1998986.983321773
141,2021-05-22,1999690.256924318
142,2021-05-23,2000647.6018295237
143,2021-05-24,1999615.6599571786
144,2021-05-25,1999347.6349111295
145,2021-05-26,1998626.2839203705
146,2021-05-27,1998212.0959906022
147,2021-05-28,1998174.4942541758
148,2021-05-29,1998677.7521723376
149,2021-05-30,1999237.4580219605
150,2021-05-31,1999553.0357473479
151,2021-06-01,1998386.8440017751
152,2021-06-02,1997747.7807130085
153,2021-06-03,1998623.2126186015
154,2021-06-04,1997589.6007694097
155,2021-06-05,1998973.1214086735
156,2021-06-06,1998372.9979673799
157,2021-06-07,1999831.3108585083
158,2021-06-08,1998795.708424279
159,2021-06-09,1997734.2044803102
160,2021-06-10,1998571.3960414939
161,2021-06-11,1998316.231228555
162,2021-06-12,1998848.2028934935
163,2021-06-13,1997737.043167733
164,2021-06-14,1996797.6150759924
165,2021-06-15,1998363.8395486313
166,2021-06-16,1996911.4499460384
167,2021-06-17,1998470.8376681556
168,2021-06-18,1998416.151246362
169,2021-06-19,1997565.4912068397
170,2021-06-20,1998006.2894187816
171,2021-06-21,1998902.358702314
172,2021-06-22,1998431.0300912047
173,2021-06-23,1998042.572044249
174,2021-06-24,1997249.5139517228
175,2021-06-25,1996749.9237719348
176,2021-06-26,1998319.0230765673
177,2021-06-27,1996502.9669453008
178,2021-06-28,1997992.334844602
179,2021-06-29,1997073.7786373568
180,2021-06-30,1996086.7959994667
181,2021-07-01,1996910.7485467833
182,2021-07-02,1997934.8731362682
183,2021-07-03,1997593.5551923763
184,2021-07-04,1996758.082299538
185,2021-07-05,1997660.175427673
186,2021-07-06,1996712.5684539867
187,2021-07-07,1996740.7627361806
188,2021-07-08,1997548.9196725953
189,2021-07-09,1997310.268946072
190,2021-07-10,1996754.1110610666
191,2021-07-11,1997382.4045682882
192,2021-07-12,1996558.2812683752
193,2021-07-13,1996462.7472622558
194,2021-07-14,1996505.01568963
195,2021-07-15,1996148.6528859637
196,2021-07-16,1997844.5348027146
197,2021-07-17,1997864.795221978
198,2021-07-18,1997450.387912762
199,2021-07-19,1996886.9893711081
200,2021-07-20,1996772.593751442
201,2021-07-21,1997016.5601606935
202,2021-07-22,1996647.1343311558
203,2021-07-23,1998233.3801868146
204,2021-07-24,1996549.3295560803
205,2021-07-25,1997506.599047033
206,2021-07-26,1996974.0755431617
207,2021-07-27,1996882.0538804657
208,2021-07-28,1995778.8846047819
209,2021-07-29,1995786.656872788
210,2021-07-30,1996056.088255755
211,2021-07-31,1996062.2922892296
212,2021-08-01,1995914.689287127
213,2021-08-02,1995780.0583087837
214,2021-08-03,1996777.4879067698
215,2021-08-04,1997255.6921843665
216,2021-08-05,1997036.4490681193
217,2021-08-06,1997320.496479056
218,2021-08-07,1996299.991731343
219,2021-08-08,1996213.8488784912
220,2021-08-09,1996989.376375095
221,2021-08-10,1995465.3565264079
222,2021-08-11,1996156.8216808524
223,2021-08-12,1996051.793182904
224,2021-08-13,1995192.0568059767
225,2021-08-14,1995793.7108292743
226,2021-08-15,1995838.1494044943
227,2021-08-16,1995588.826407938
228,2021-08-17,1995155.1787553022
229,2021-08-18,1995977.7480670752
230,2021-08-19,1994904.104941948
231,2021-08-20,1994853.2120845444
232,2021-08-21,1995884.2056614677
233,2021-08-22,1995868.2391637063
234,2021-08-23,1996186.052334779
235,2021-08-24,1994732.5805688864
236,2021-08-25,1994910.9686370792
237,2021-08-26,1994518.906876271
238,2021-08-27,1994878.1737401157
239,2021-08-28,1995636.763091638
240,2021-08-29,1995781.8349102295
241,2021-08-30,1995023.800248517
242,2021-08-31,1995297.8502315374
243,2021-09-01,1995282.9719840342
244,2021-09-02,1994705.2632099274
245,2021-09-03,1994097.3776363707
246,2021-09-04,1995593.5667031703
247,2021-09-05,1995620.9914315618
248,2021-09-06,1994991.9921843207
249,2021-09-07,1995874.0519819416
250,2021-09-08,1996176.485654286
251,2021-09-09,1994109.7014770177
252,2021-09-10,1994909.91157158
253,2021-09-11,1994782.0494244117
254,2021-09-12,1993646.6104407925
255,2021-09-13,1994766.6034712752
256,2021-09-14,1994020.512078703
257,2021-09-15,1993721.7821139994
258,2021-09-16,1994462.5498880255
259,2021-09-17,1995407.5578417091
260,2021-09-18,1995030.478773084
261,2021-09-19,1994564.5185391854
262,2021-09-20,1993097.6672732425
263,2021-09-21,1993730.002583826
264,2021-09-22,1993888.41397964
265,2021-09-23,1994077.0174681335
266,2021-09-24,1993142.4023834353
267,2021-09-25,1994547.6844862124
268,2021-09-26,1993858.4487118796
269,2021-09-27,1994114.579330342
270,2021-09-28,1994429.2896643672
271,2021-09-29,1994128.7576057515
272,2021-09-30,1994419.4168158935
273,2021-10-01,1993729.688900171
274,2021-10-02,1993706.3206286675
275,2021-10-03,1993224.3221567573
276,2021-10-04,1993179.9230637902
277,2021-10-05,1994352.4252934142
278,2021-10-06,1993851.5218156981
279,2021-10-07,1993861.3898336252
280,2021-10-08,1993314.2239438237
281,2021-10-09,1993556.4196022528
282,2021-10-10,1993649.4047311249
283,2021-10-11,1993032.180862745
284,2021-10-12,1993493.7259167684
285,2021-10-13,1993138.247423104
286,2021-10-14,1992888.0451832125
287,2021-10-15,1993325.9183976897
288,2021-10-16,1994033.026889253
289,2021-10-17,1994093.675362408
290,2021-10-18,1993613.3030495802
291,2021-10-19,1993832.6365132371
292,2021-10-20,1993247.545880404
293,2021-10-21,1993718.7640136865
294,2021-10-22,1994214.5505758557
295,2021-10-23,1994339.9141693092
296,2021-10-24,1993923.1232871492
297,2021-10-25,1993592.112671892
298,2021-10-26,1993338.0756284418
299,2021-10-27,1993159.8350339867
300,2021-10-28,1992852.7978723715
301,2021-10-29,1993258.2140441856
302,2021-10-30,1993673.3657721446
303,2021-10-31,1993571.229488894
304,2021-11-01,1993858.8840253314
305,2021-11-02,1993338.7478648627
306,2021-11-03,1993457.5189115491
307,2021-11-04,1993327.0542452764
308,2021-11-05,1993762.9905211276
309,2021-11-06,1993348.3587000212
310,2021-11-07,1993628.068379665
311,2021-11-08,1993926.0814079435
312,2021-11-09,1993956.5889441168
313,2021-11-10,1993940.761609905
314,2021-11-11,1993840.1726059339
315,2021-11-12,1994080.215099666
316,2021-11-13,1994261.6356523547
317,2021-11-14,1993889.5295756483
318,2021-11-15,1994130.8914782947
319,2021-11-16,1994350.0313309743
320,2021-11-17,1994021.4530080673
321,2021-11-18,1994381.0276481342
322,2021-11-19,1994395.3304641158
323,2021-11-20,1994128.1142316042
324,2021-11-21,1993864.766285388
325,2021-11-22,1994487.460472275
326,2021-11-23,1994308.3196866673
327,2021-11-24,1993912.3792981664
328,2021-11-25,1994250.5747044275
329,2021-11-26,1994488.0433103743
330,2021-11-27,1994195.7080505798
331,2021-11-28,1994466.7046602524
332,2021-11-29,1994465.3811344095
333,2021-11-30,1994684.719345246
334,2021-12-01,1994738.2834569209
335,2021-12-02,1994362.2239772351
336,2021-12-03,1994436.6029217949
337,2021-12-04,1994700.3667096698
338,2021-12-05,1994871.5857822967
339,2021-12-06,1994250.6483568395
340,2021-12-07,1994769.2306874346
341,2021-12-08,1994625.430375012
342,2021-12-09,1994859.4291887975
343,2021-12-10,1994499.2533324098
344,2021-12-11,1994949.7265956427
345,2021-12-12,1994766.5234712118
346,2021-12-13,1994765.9351969413
347,2021-12-14,1994474.968117578
348,2021-12-15,1994416.1491290848
349,2021-12-16,1995058.4192965738
350,2021-12-17,1995133.81335572
