station_name,date,entry_exit,tapcount
Abbey Road DLR,2019-01-31,Entry,23340
Abbey Road DLR,2019-01-31,Exit,22217
Abbey Road DLR,2019-02-28,Entry,23578
Abbey Road DLR,2019-02-28,Exit,21988
Abbey Road DLR,2019-03-31,Entry,26504
Abbey Road DLR,2019-03-31,Exit,24703
Abbey Road DLR,2019-04-30,Entry,24445
Abbey Road DLR,2019-04-30,Exit,22941
Abbey Road DLR,2019-05-31,Entry,25554
Abbey Road DLR,2019-05-31,Exit,24197
Abbey Road DLR,2019-06-30,Entry,26147
Abbey Road DLR,2019-06-30,Exit,24475
Abbey Road DLR,2019-07-31,Entry,27208
Abbey Road DLR,2019-07-31,Exit,25539
Abbey Road DLR,2019-08-31,Entry,24138
Abbey Road DLR,2019-08-31,Exit,22874
Abbey Road DLR,2019-09-30,Entry,25287
Abbey Road DLR,2019-09-30,Exit,23874
Abbey Road DLR,2019-10-31,Entry,27325
Abbey Road DLR,2019-10-31,Exit,26261
Abbey Road DLR,2019-11-30,Entry,25184
Abbey Road DLR,2019-11-30,Exit,23681
Abbey Road DLR,2019-12-31,Entry,23289
Abbey Road DLR,2019-12-31,Exit,22258
Abbey Road DLR,2020-01-31,Entry,24809
Abbey Road DLR,2020-01-31,Exit,24014
Abbey Road DLR,2020-02-29,Entry,23790
Abbey Road DLR,2020-02-29,Exit,22716
Abbey Road DLR,2020-03-31,Entry,17084
Abbey Road DLR,2020-03-31,Exit,16027
Abbey Road DLR,2020-04-30,Entry,3016
Abbey Road DLR,2020-04-30,Exit,2496
Abbey Road DLR,2020-05-31,Entry,3948
Abbey Road DLR,2020-05-31,Exit,3330
Abbey Road DLR,2020-06-30,Entry,7996
Abbey Road DLR,2020-06-30,Exit,6696
Abbey Road DLR,2020-07-31,Entry,11408
Abbey Road DLR,2020-07-31,Exit,9704
Abbey Road DLR,2020-08-31,Entry,12053
Abbey Road DLR,2020-08-31,Exit,10316
Abbey Road DLR,2020-09-30,Entry,13771
Abbey Road DLR,2020-09-30,Exit,11794
Abbey Road DLR,2020-10-31,Entry,14743
Abbey Road DLR,2020-10-31,Exit,12517
Abbey Road DLR,2020-11-30,Entry,11135
Abbey Road DLR,2020-11-30,Exit,9747
Abbey Road DLR,2020-12-31,Entry,11594
Abbey Road DLR,2020-12-31,Exit,11183
Abbey Road DLR,2021-01-31,Entry,7355
Abbey Road DLR,2021-01-31,Exit,8035
Abbey Road DLR,2021-02-28,Entry,8255
Abbey Road DLR,2021-02-28,Exit,9340
Abbey Road DLR,2021-03-31,Entry,12065
Abbey Road DLR,2021-03-31,Exit,13305
Abbey Road DLR,2021-04-30,Entry,11023
Abbey Road DLR,2021-04-30,Exit,13748
Abbey Road DLR,2021-05-31,Entry,15340
Abbey Road DLR,2021-05-31,Exit,16953
Abbey Road DLR,2021-06-30,Entry,17124
Abbey Road DLR,2021-06-30,Exit,19115
Abbey Road DLR,2021-07-31,Entry,16102
Abbey Road DLR,2021-07-31,Exit,13634
Abbey Road DLR,2021-08-31,Entry,15475
