date,line,temperature
2013-01-01,Bakerloo,22.34
2013-01-01,Central,20.24
2013-01-01,Jubilee,14.97
2013-01-01,Northern,17.44
2013-01-01,Piccadilly,18.73
2013-01-01,Victoria,22.11
2013-01-01,Waterloo & City,14.85
2013-01-01,District,12.17
2013-01-01,Circle,12.17
2013-01-01,Metropolitan,12.17
2013-01-01,Hammersmith & City,12.17
2013-01-02,Bakerloo,22.2
2013-01-02,Central,22.31
2013-01-02,Jubilee,13.84
2013-01-02,Northern,18.75
2013-01-02,Piccadilly,19.82
2013-01-02,Victoria,14.23
2013-01-02,Waterloo & City,15.67
2013-01-02,District,12.92
2013-01-02,Circle,12.92
2013-01-02,Metropolitan,12.92
2013-01-02,Hammersmith & City,12.92
2013-01-03,Bakerloo,21.5
2013-01-03,Central,20.51
2013-01-03,Jubilee,16.47
2013-01-03,Northern,20.91
2013-01-03,Piccadilly,18.8
2013-01-03,Victoria,19.63
2013-01-03,Waterloo & City,15.94
2013-01-03,District,13.94
2013-01-03,Circle,13.94
2013-01-03,Metropolitan,13.94
2013-01-03,Hammersmith & City,13.94
2013-01-04,Bakerloo,22.74
2013-01-04,Central,20.01
2013-01-04,Jubilee,16.55
2013-01-04,Northern,19.12
2013-01-04,Piccadilly,20.12
2013-01-04,Victoria,15.09
2013-01-04,Waterloo & City,19.8
2013-01-04,District,12.6
2013-01-04,Circle,12.6
2013-01-04,Metropolitan,12.6
2013-01-04,Hammersmith & City,12.6
2013-01-05,Bakerloo,22.89
2013-01-05,Central,21.05
2013-01-05,Jubilee,18.09
2013-01-05,Northern,18.74
2013-01-05,Piccadilly,18.97
2013-01-05,Victoria,18.62
2013-01-05,Waterloo & City,15.02
2013-01-05,District,12.62
2013-01-05,Circle,12.62
2013-01-05,Metropolitan,12.62
2013-01-05,Hammersmith & City,12.62
2013-01-06,Bakerloo,21.58
2013-01-06,Central,20.93
2013-01-06,Jubilee,16.49
2013-01-06,Northern,18.96
2013-01-06,Piccadilly,20.21
2013-01-06,Victoria,21.41
2013-01-06,Waterloo & City,17.95
2013-01-06,District,11.66
2013-01-06,Circle,11.66
2013-01-06,Metropolitan,11.66
2013-01-06,Hammersmith & City,11.66
2013-01-07,Bakerloo,21.52
2013-01-07,Central,20.88
2013-01-07,Jubilee,15.58
2013-01-07,Northern,17.54
2013-01-07,Piccadilly,19.53
2013-01-07,Victoria,13.14
2013-01-07,Waterloo & City,10.05
2013-01-07,District,12.97
2013-01-07,Circle,12.97
2013-01-07,Metropolitan,12.97
2013-01-07,Hammersmith & City,12.97
2013-01-08,Bakerloo,22.39
2013-01-08,Central,21.28
2013-01-08,Jubilee,16.43
2013-01-08,Northern,19.48
2013-01-08,Piccadilly,18.9
2013-01-08,Victoria,21.16
2013-01-08,Waterloo & City,14.79
2013-01-08,District,11.0
2013-01-08,Circle,11.0
2013-01-08,Metropolitan,11.0
2013-01-08,Hammersmith & City,11.0
2013-01-09,Bakerloo,21.12
2013-01-09,Central,20.91
2013-01-09,Jubilee,18.44
2013-01-09,Northern,19.18
2013-01-09,Piccadilly,19.33
2013-01-09,Victoria,18.73
2013-01-09,Waterloo & City,17.15
2013-01-09,District,12.08
2013-01-09,Circle,12.08
2013-01-09,Metropolitan,12.08
2013-01-09,Hammersmith & City,12.08
2013-01-10,Bakerloo,22.19
2013-01-10,Central,21.49
2013-01-10,Jubilee,18.89
2013-01-10,Northern,20.47
2013-01-10,Piccadilly,19.78
2013-01-10,Victoria,23.36
2013-01-10,Waterloo & City,18.29
2013-01-10,District,12.2
2013-01-10,Circle,12.2
2013-01-10,Metropolitan,12.2
2013-01-10,Hammersmith & City,12.2
2013-01-11,Bakerloo,20.89
2013-01-11,Central,21.65
2013-01-11,Jubilee,17.11
2013-01-11,Northern,19.11
2013-01-11,Piccadilly,21.07
2013-01-11,Victoria,13.87
2013-01-11,Waterloo & City,17.84
2013-01-11,District,11.51
2013-01-11,Circle,11.51
2013-01-11,Metropolitan,11.51
2013-01-11,Hammersmith & City,11.51
2013-01-12,Bakerloo,22.79
2013-01-12,Central,20.85
2013-01-12,Jubilee,17.13
2013-01-12,Northern,21.04
2013-01-12,Piccadilly,19.79
2013-01-12,Victoria,17.85
2013-01-12,Waterloo & City,13.68
2013-01-12,District,13.42
2013-01-12,Circle,13.42
2013-01-12,Metropolitan,13.42
2013-01-12,Hammersmith & City,13.42
2013-01-13,Bakerloo,21.03
2013-01-13,Central,21.5
2013-01-13,Jubilee,13.19
2013-01-13,Northern,20.98
2013-01-13,Piccadilly,17.85
2013-01-13,Victoria,12.87
2013-01-13,Waterloo & City,14.52
2013-01-13,District,10.74
2013-01-13,Circle,10.74
2013-01-13,Metropolitan,10.74
2013-01-13,Hammersmith & City,10.74
2013-01-14,Bakerloo,22.36
2013-01-14,Central,19.12
2013-01-14,Jubilee,16.76
2013-01-14,Northern,18.84
2013-01-14,Piccadilly,19.09
2013-01-14,Victoria,16.5
2013-01-14,Waterloo & City,19.21
2013-01-14,District,11.75
2013-01-14,Circle,11.75
2013-01-14,Metropolitan,11.75
2013-01-14,Hammersmith & City,11.75
2013-01-15,Bakerloo,21.88
2013-01-15,Central,21.43
2013-01-15,Jubilee,17.56
2013-01-15,Northern,18.52
2013-01-15,Piccadilly,20.23
2013-01-15,Victoria,23.57
2013-01-15,Waterloo & City,17.19
2013-01-15,District,11.24
2013-01-15,Circle,11.24
2013-01-15,Metropolitan,11.24
2013-01-15,Hammersmith & City,11.24
2013-01-16,Bakerloo,20.42
2013-01-16,Central,21.3
2013-01-16,Jubilee,18.35
2013-01-16,Northern,21.76
2013-01-16,Piccadilly,19.87
2013-01-16,Victoria,15.84
2013-01-16,Waterloo & City,11.72
2013-01-16,District,11.11
2013-01-16,Circle,11.11
2013-01-16,Metropolitan,11.11
2013-01-16,Hammersmith & City,11.11
2013-01-17,Bakerloo,21.08
2013-01-17,Central,19.06
2013-01-17,Jubilee,16.02
2013-01-17,Northern,22.17
2013-01-17,Piccadilly,19.43
2013-01-17,Victoria,20.4
2013-01-17,Waterloo & City,22.65
2013-01-17,District,11.55
2013-01-17,Circle,11.55
2013-01-17,Metropolitan,11.55
2013-01-17,Hammersmith & City,11.55
2013-01-18,Bakerloo,21.86
2013-01-18,Central,23.23
2013-01-18,Jubilee,16.6
2013-01-18,Northern,20.32
2013-01-18,Piccadilly,18.79
2013-01-18,Victoria,19.48
2013-01-18,Waterloo & City,17.52
2013-01-18,District,11.42
2013-01-18,Circle,11.42
2013-01-18,Metropolitan,11.42
2013-01-18,Hammersmith & City,11.42
2013-01-19,Bakerloo,18.91
2013-01-19,Central,21.26
2013-01-19,Jubilee,17.81
2013-01-19,Northern,20.68
2013-01-19,Piccadilly,20.22
2013-01-19,Victoria,22.48
2013-01-19,Waterloo & City,13.63
2013-01-19,District,11.27
2013-01-19,Circle,11.27
2013-01-19,Metropolitan,11.27
2013-01-19,Hammersmith & City,11.27
2013-01-20,Bakerloo,19.47
2013-01-20,Central,20.58
2013-01-20,Jubilee,15.41
2013-01-20,Northern,18.2
2013-01-20,Piccadilly,20.73
2013-01-20,Victoria,15.57
2013-01-20,Waterloo & City,14.24
2013-01-20,District,11.26
2013-01-20,Circle,11.26
2013-01-20,Metropolitan,11.26
2013-01-20,Hammersmith & City,11.26
2013-01-21,Bakerloo,23.25
2013-01-21,Central,21.59
2013-01-21,Jubilee,15.79
2013-01-21,Northern,19.34
2013-01-21,Piccadilly,19.38
2013-01-21,Victoria,18.51
2013-01-21,Waterloo & City,15.1
2013-01-21,District,12.37
2013-01-21,Circle,12.37
2013-01-21,Metropolitan,12.37
2013-01-21,Hammersmith & City,12.37
2013-01-22,Bakerloo,22.48
2013-01-22,Central,19.65
2013-01-22,Jubilee,17.06
2013-01-22,Northern,20.55
2013-01-22,Piccadilly,21.14
2013-01-22,Victoria,18.77
2013-01-22,Waterloo & City,17.34
2013-01-22,District,11.79
2013-01-22,Circle,11.79
2013-01-22,Metropolitan,11.79
2013-01-22,Hammersmith & City,11.79
2013-01-23,Bakerloo,23.8
2013-01-23,Central,21.7
2013-01-23,Jubilee,18.77
2013-01-23,Northern,20.09
2013-01-23,Piccadilly,19.48
2013-01-23,Victoria,16.87
2013-01-23,Waterloo & City,18.68
2013-01-23,District,12.09
2013-01-23,Circle,12.09
2013-01-23,Metropolitan,12.09
2013-01-23,Hammersmith & City,12.09
2013-01-24,Bakerloo,21.94
2013-01-24,Central,20.7
2013-01-24,Jubilee,15.52
2013-01-24,Northern,20.38
2013-01-24,Piccadilly,18.58
2013-01-24,Victoria,15.13
2013-01-24,Waterloo & City,10.37
2013-01-24,District,12.17
2013-01-24,Circle,12.17
2013-01-24,Metropolitan,12.17
2013-01-24,Hammersmith & City,12.17
2013-01-25,Bakerloo,22.22
2013-01-25,Central,20.73
2013-01-25,Jubilee,17.87
2013-01-25,Northern,19.42
2013-01-25,Piccadilly,18.09
2013-01-25,Victoria,15.97
2013-01-25,Waterloo & City,15.02
2013-01-25,District,12.78
2013-01-25,Circle,12.78
2013-01-25,Metropolitan,12.78
2013-01-25,Hammersmith & City,12.78
2013-01-26,Bakerloo,19.87
2013-01-26,Central,20.61
2013-01-26,Jubilee,18.47
2013-01-26,Northern,21.3
2013-01-26,Piccadilly,18.6
2013-01-26,Victoria,14.08
2013-01-26,Waterloo & City,16.57
2013-01-26,District,10.87
2013-01-26,Circle,10.87
2013-01-26,Metropolitan,10.87
2013-01-26,Hammersmith & City,10.87
2013-01-27,Bakerloo,22.34
2013-01-27,Central,19.45
2013-01-27,Jubilee,12.65
2013-01-27,Northern,17.54
2013-01-27,Piccadilly,18.0
2013-01-27,Victoria,22.25
2013-01-27,Waterloo & City,16.8
2013-01-27,District,12.46
2013-01-27,Circle,12.46
2013-01-27,Metropolitan,12.46
2013-01-27,Hammersmith & City,12.46
2013-01-28,Bakerloo,19.95
2013-01-28,Central,20.82
2013-01-28,Jubilee,14.85
2013-01-28,Northern,18.84
2013-01-28,Piccadilly,19.01
2013-01-28,Victoria,18.08
2013-01-28,Waterloo & City,20.69
2013-01-28,District,12.29
2013-01-28,Circle,12.29
2013-01-28,Metropolitan,12.29
2013-01-28,Hammersmith & City,12.29
2013-01-29,Bakerloo,22.32
2013-01-29,Central,21.58
2013-01-29,Jubilee,15.69
2013-01-29,Northern,18.31
2013-01-29,Piccadilly,18.71
2013-01-29,Victoria,21.49
2013-01-29,Waterloo & City,12.35
2013-01-29,District,12.1
2013-01-29,Circle,12.1
2013-01-29,Metropolitan,12.1
2013-01-29,Hammersmith & City,12.1
2013-01-30,Bakerloo,19.09
2013-01-30,Central,20.18
2013-01-30,Jubilee,17.59
2013-01-30,Northern,19.12
2013-01-30,Piccadilly,20.04
2013-01-30,Victoria,19.86
2013-01-30,Waterloo & City,14.87
2013-01-30,District,11.9
2013-01-30,Circle,11.9
2013-01-30,Metropolitan,11.9
2013-01-30,Hammersmith & City,11.9
2013-01-31,Bakerloo,22.01
2013-01-31,Central,21.32
2013-01-31,Jubilee,17.64
2013-01-31,Northern,20.21
2013-01-31,Piccadilly,19.98
2013-01-31,Victoria,16.64
2013-01-31,Waterloo & City,17.01
2013-01-31,District,12.54
2013-01-31,Circle,12.54
2013-01-31,Metropolitan,12.54
2013-01-31,Hammersmith & City,12.54
2013-02-01,Bakerloo,23.3
2013-02-01,Central,21.58
2013-02-01,Jubilee,18.39
2013-02-01,Northern,20.86
2013-02-01,Piccadilly,19.12
2013-02-01,Victoria,19.11
