station_id,station_name,Longitude,Latitude,Borough
act316,Acton Town,-0.280302697,51.50307099,Ealing
ald843,Aldgate,-0.075626912,51.51434226,City of London
ald579,Aldgate East,-0.073001462,51.51508151,Tower Hamlets
alp186,Alperton,-0.299515753,51.54120879,Brent
ame377,Amersham,-0.606513768,51.67412833,Chiltern
ang779,Angel,-0.105581448,51.53296785,Islington
arc933,Archway,-0.135121576,51.56549032,Islington
arn984,Arnos Grove,-0.134270218,51.61622992,Enfield
ars283,Arsenal,-0.105499933,51.55854121,Islington
bak394,Baker Street,-0.156904193,51.52312937,City of Westminster
bal367,Balham,-0.152685162,51.44318231,Wandsworth
ban753,Bank & Monument,-0.0891,51.5123,City of London
bar182,Barbican,-0.097721578,51.52021513,City of London
bar352,Barking,0.08083161,51.53952125,Barking and Dagenham
bar528,Barkingside,0.08847664,51.58585076,Redbridge
bar970,Barons Court,-0.213430142,51.49022833,Hammersmith and Fulham
bay243,Bayswater,-0.187901572,51.51211098,City of Westminster
bec820,Becontree,0.126880293,51.53958562,Barking and Dagenham
bel904,Belsize Park,-0.163974491,51.55019061,Camden
ber640,Bermondsey,-0.06433009,51.49796068,Southwark
bet419,Bethnal Green,-0.055392111,51.52719165,Tower Hamlets
bla684,Blackfriars,-0.102995385,51.51158676,City of London
bla749,Blackhorse Road,-0.039625711,51.58577656,Waltham Forest
bon489,Bond Street,-0.149613609,51.51379728,City of Westminster
bor939,Borough,-0.094197323,51.50104872,Southwark
bos861,Boston Manor,-0.324747183,51.49576501,Ealing
bou551,Bounds Green,-0.124177065,51.60703172,Haringey
bow325,Bow Road,-0.024359591,51.52704177,Tower Hamlets
bre132,Brent Cross,-0.213335838,51.57659887,Barnet
bri164,Brixton,-0.114552097,51.46273662,Lambeth
bro523,Bromley-by-Bow,-0.011682374,51.52484018,Tower Hamlets
buc141,Buckhurst Hill,0.046712541,51.62657674,Epping Forest
bur173,Burnt Oak,-0.264330708,51.60255148,Barnet
cal320,Caledonian Road,-0.118360861,51.54788525,Islington
cam290,Camden Town,-0.14245238,51.53996912,Camden
can846,Canada Water,-0.050807121,51.49816833,Southwark
can872,Canary Wharf,-0.01946684,51.50357838,Tower Hamlets
can421,Canning Town,0.008305633,51.5138703,Newham
can199,Cannon Street,-0.090250526,51.51136194,City of London
