,station_name,date,entry_exit,tapcount,DLR,tube,NR,EL,Overground
0,Abbey Road DLR,2019-04-30,Entry,24445,True,False,False,False,False
1,Abbey Road DLR,2019-08-31,Entry,24138,True,False,False,False,False
2,Abbey Road DLR,2019-12-31,Entry,23289,True,False,False,False,False
3,Abbey Road DLR,2019-02-28,Entry,23578,True,False,False,False,False
4,Abbey Road DLR,2019-01-31,Entry,23340,True,False,False,False,False
5,Abbey Road DLR,2019-07-31,Entry,27208,True,False,False,False,False
6,Abbey Road DLR,2019-06-30,Entry,26147,True,False,False,False,False
7,Abbey Road DLR,2019-03-31,Entry,26504,True,False,False,False,False
8,Abbey Road DLR,2019-05-31,Entry,25554,True,False,False,False,False
9,Abbey Road DLR,2019-11-30,Entry,25184,True,False,False,False,False
10,Abbey Road DLR,2019-10-31,Entry,27325,True,False,False,False,False
11,Abbey Road DLR,2019-09-30,Entry,25287,True,False,False,False,False
12,Abbey Road DLR,2019-04-30,Exit,22941,True,False,False,False,False
13,Abbey Road DLR,2019-08-31,Exit,22874,True,False,False,False,False
14,Abbey Road DLR,2019-12-31,Exit,22258,True,False,False,False,False
15,Abbey Road DLR,2019-02-28,Exit,21988,True,False,False,False,False
16,Abbey Road DLR,2019-01-31,Exit,22217,True,False,False,False,False
17,Abbey Road DLR,2019-07-31,Exit,25539,True,False,False,False,False
18,Abbey Road DLR,2019-06-30,Exit,24475,True,False,False,False,False
19,Abbey Road DLR,2019-03-31,Exit,24703,True,False,False,False,False
20,Abbey Road DLR,2019-05-31,Exit,24197,True,False,False,False,False
21,Abbey Road DLR,2019-11-30,Exit,23681,True,False,False,False,False
22,Abbey Road DLR,2019-10-31,Exit,26261,True,False,False,False,False
23,Abbey Road DLR,2019-09-30,Exit,23874,True,False,False,False,False
24,Abbey Wood,2019-04-30,Entry,133474,False,False,True,True,False
25,Abbey Wood,2019-08-31,Entry,146173,False,False,True,True,False
26,Abbey Wood,2019-12-31,Entry,135918,False,False,True,True,False
27,Abbey Wood,2019-02-28,Entry,135250,False,False,True,True,False
28,Abbey Wood,2019-01-31,Entry,130298,False,False,True,True,False
29,Abbey Wood,2019-07-31,Entry,159768,False,False,True,True,False
30,Abbey Wood,2019-06-30,Entry,141923,False,False,True,True,False
31,Abbey Wood,2019-03-31,Entry,145605,False,False,True,True,False
32,Abbey Wood,2019-05-31,Entry,140480,False,False,True,True,False
33,Abbey Wood,2019-11-30,Entry,158959,False,False,True,True,False
34,Abbey Wood,2019-10-31,Entry,166177,False,False,True,True,False
35,Abbey Wood,2019-09-30,Entry,152082,False,False,True,True,False
36,Abbey Wood,2019-04-30,Exit,116776,False,False,True,True,False
37,Abbey Wood,2019-08-31,Exit,124864,False,False,True,True,False
38,Abbey Wood,2019-12-31,Exit,118448,False,False,True,True,False
39,Abbey Wood,2019-02-28,Exit,118582,False,False,True,True,False
40,Abbey Wood,2019-01-31,Exit,117574,False,False,True,True,False
41,Abbey Wood,2019-07-31,Exit,138195,False,False,True,True,False
42,Abbey Wood,2019-06-30,Exit,124091,False,False,True,True,False
43,Abbey Wood,2019-03-31,Exit,129830,False,False,True,True,False
44,Abbey Wood,2019-05-31,Exit,120610,False,False,True,True,False
45,Abbey Wood,2019-11-30,Exit,140433,False,False,True,True,False
46,Abbey Wood,2019-10-31,Exit,148035,False,False,True,True,False
47,Abbey Wood,2019-09-30,Exit,130883,False,False,True,True,False
48,Acton Central,2019-04-30,Entry,71303,False,False,False,False,True
49,Acton Central,2019-08-31,Entry,62955,False,False,False,False,True
50,Acton Central,2019-12-31,Entry,63629,False,False,False,False,True
